n,k,unknowns,equations,internal_extrema,method,point_residual_max,krawczyk_q_norm_upper,minimum_inclusion_margin,minimum_y_ordering_margin,minimum_weight_lower_bound,minimum_b_ordering_margin,E_lower_bound,all_components_strictly_included,all_residual_intervals_contain_zero,verdict,frozen_round50_q_norm,q_norm_relative_difference,agrees_with_frozen_verdict
2,3,5,5,0,forward automatic differentiation over mpmath and Arb,1.4899953247648698952e-80,1.740413976537039e-09,1.0000000027341126e-12,0.023975033031059214,0.48154391984869144,,0.10500586736450084,True,True,INDEPENDENTLY_CERTIFIED,1.740414834264749e-09,4.92829464139197e-07,True
3,4,8,8,1,forward automatic differentiation over mpmath and Arb,4.4708383447728075767e-80,3.448943546357871e-08,9.999999699850907e-13,0.004859908968323634,0.1733930820170607,0.0163264113264065,0.004365404471745892,True,True,INDEPENDENTLY_CERTIFIED,2.7403431523364548e-08,0.2585808983145975,True
3,5,7,7,0,forward automatic differentiation over mpmath and Arb,2.3945983532342522206e-80,3.4318270719944753e-09,1.0000000010426995e-12,0.014337704145548202,0.22826762142155904,,0.06980804604056094,True,True,INDEPENDENTLY_CERTIFIED,3.4318287531381513e-09,4.898681714659814e-07,True
4,5,11,11,2,forward automatic differentiation over mpmath and Arb,7.7199404743060850235e-80,6.624391423754452e-07,9.999993420353746e-13,0.0020491896026606517,0.10140746149803026,0.007704157839579867,0.00017943334845250058,True,True,INDEPENDENTLY_CERTIFIED,5.822799461018218e-07,0.1376643602622134,True
4,6,10,10,1,forward automatic differentiation over mpmath and Arb,1.1011528232458729366e-79,5.529567760392069e-08,9.999999491788483e-13,0.003941092003737934,0.1490107605465006,0.015587797000743895,0.002943219480788432,True,True,INDEPENDENTLY_CERTIFIED,4.375754222043456e-08,0.26368335144056315,True
4,7,9,9,0,forward automatic differentiation over mpmath and Arb,8.2570126982665834881e-81,3.4386796803088226e-08,9.999999700877293e-13,0.00986043486706624,0.12619367936097256,,0.04597982225245282,True,True,INDEPENDENTLY_CERTIFIED,3.438679688041701e-08,2.248792794225358e-09,True
