n,k,variable,center,radius,box_lower,box_upper,independent_krawczyk_lower,independent_krawczyk_upper,strictly_included,inclusion_margin
4,6,w_1,0.14901076054750058705681559023673437029469061359360411751047631460076980961401519,1.0e-12,[0.1490107605465005870523410635639413481085208489845280348040248985851448096140151900000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 8.81e-163],[0.1490107605485005870612901169095273924808603782026802002169277306163948096140151900000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 8.81e-163],[0.1490107605475005870377910547916692698154103008834173522062108152906929617087220815732339866567365619154290615416921387310953332858170761321507173362875500958383 +/- 3.97e-161],[0.1490107605475005870758401256817994707739709263037908828147418139108466575193082956387857444692365619154290615416921387310953332858170761321507173362875500958383 +/- 3.97e-161],True,9.999999854499912e-13
4,6,w_2,0.36029433243365671170314618268249509515049853047376720028510615000308626360334791,1.0e-12,[0.3602943324326567116986716560097020729643287658646911175786547339874612636033479100000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.97e-162],[0.3602943324346567117076207093552881173366682950828432829915575660187112636033479100000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.97e-162],[0.3602943324336567116882847956625952942629058493404265600063556725820870316222343546100069584160152113431294006545093768068933499996807499692708299922413798426140 +/- 1.73e-161],[0.3602943324336567117180075697023948960380912116071078405638566274240854955844614607043673099785152113431294006545093768068933499996807499692708299922413798426140 +/- 1.73e-161],True,9.999999896131397e-13
4,6,w_3,0.32978169216754234738977225840477601304201905465970952164621573216725803578884413,1.0e-12,[0.3297816921665423473852977317319829908558492900506334389397643161516330357888441300000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.08e-162],[0.3297816921685423473942467850775690352281888192687856043526671481828830357888441300000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.08e-162],[0.3297816921675423473803921108232112076204709431806510580871714868948688738062705626186503292744647017304491559204278716096152851121562555859654655102347850450420 +/- 3.28e-161],[0.3297816921675423473991524059863408184635671661387679852052599774396471977714177002605570675557147017304491559204278716096152851121562555859654655102347850450420 +/- 3.28e-161],True,9.999999950943791e-13
4,6,w_4,0.16091321485130035385026596867599452151279180127291916055820180322888589099379277,1.0e-12,[0.1609132148503003538457914420032014993266220366638430778517503872132608909937927700000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 4e-165],[0.1609132148523003538547404953487875436989615658819952432646532192445108909937927700000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 4e-165],[0.1609132148513003538445410207521001940366482929052246741302394839318056062525512874167519141293460250109923818833706128523960316023459183126129871612362850165057 +/- 2.65e-161],[0.1609132148513003538559909165998888489889353096406136469861641225259661757350342571776466895199710250109923818833706128523960316023459183126129871612362850165057 +/- 2.65e-161],True,9.999999987495788e-13
4,6,b_1,0.095587797001743895047819679843276293982629281076550022952141396265296557590040884,1.0e-12,[0.09558779700074389504334515317048327179645951646747394024568998024967155759004088400000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 2.8e-164],[0.09558779700274389505229420651606931616879904568562610565859281228092155759004088400000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 2.8e-164],[0.09558779700174389499252400157721473061178994244131646522385346206880937204477520891092489281898692025888719912752603272676526572154520867231874801945953959573482 +/- 2.58e-162],[0.09558779700174389510311535810933785735346861971178358068042933046178374313530655809305379906898692025888719912752603272676526572154520867231874801945953959573482 +/- 2.58e-162],True,9.999999491788483e-13
4,6,E,0.0029432194817884319289499011184712058188596397471757218799202878725243779885476891,1.0e-12,[0.002943219480788431924475374445678183632689875138099639173468871856899377988547689100000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 4.26e-165],[0.002943219482788431933424427791264228005029404356251804586371703888149377988547689100000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 4.26e-165],[0.002943219481788431916527563445010666055303220910663559622885002366134168213129645926577524357307229109912509235335543238974725234974312332430661589353283695727986 +/- 1.21e-163],[0.002943219481788431941372238791931745582416058583687884136955573378914587763965732199770883732307229109912509235335543238974725234974312332430661589353283695727986 +/- 1.21e-163],True,9.99999992052189e-13
4,7,y_1,0.0098604348680662390098174165392115972217096269705003642158705356971640982418924117,1.0e-12,[0.009860434867066239005342889866418575035539862361424281509419119681539098241892411700000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 2.84e-164],[0.009860434869066239014291943212004619407879391579576446922321951712789098241892411700000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 2.84e-164],[0.009860434868066239008357917213713783121785884680672097719407996893395204683593242737107786601557435521935172213509649310721321676427170473403352924479740852772668 +/- 5.8e-165],[0.009860434868066239011276915864709411321633369260328630712333074500932991800191580625825437968744935521935172213509649310721321676427170473403352924479740852772668 +/- 5.8e-165],True,1.0000000030150273e-12
4,7,y_2,0.18412559927122428298845532922351416587072850470701504238035595007714170745282434,1.0e-12,[0.1841255992702242829839808025507211436845587400979389596739045340615167074528243400000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.03e-162],[0.1841255992722242829929298558963071880568982693160911250868073660927667074528243400000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.03e-162],[0.1841255992712242829620230017588583958008237981983687952486340431238250598934199683814429386852989200376154254292316894588806769037357534848927032400222486934011 +/- 2.24e-161],[0.1841255992712242830148876566881699359406332112156612895120778570304583550122287147193335636852989200376154254292316894588806769037357534848927032400222486934011 +/- 2.24e-161],True,9.999999780421992e-13
4,7,y_3,0.56067365674677874025794130285526288649197848628391176739602849069169966994314579,1.0e-12,[0.5606736567457787402534667761824698643058087216748356846895770746760746699431457900000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 7.4e-164],[0.5606736567477787402624158295280559086781482508929878501024799067073246699431457900000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 7.4e-164],[0.5606736567467787402235545056162193189294777464498755596422416505339271391415515347101766006074560389639628706041877187877841066420652549199730577382648362221256 +/- 3.84e-161],[0.5606736567467787402923281000943064540544792261179479751498153308494722007447400494196492568574560389639628706041877187877841066420652549199730577382648362221256 +/- 3.84e-161],True,9.999999700877293e-13
4,7,y_4,0.90320124575940906461102770095162074223838195830573189289266471787107218694215485,1.0e-12,[0.9032012457584090646065531742788277200522121936966558101862133018554471869421548500000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 2.64e-162],[0.9032012457604090646155022276244137644245517229148079755991161338866971869421548500000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 2.64e-162],[0.9032012457594090646008750548284044019852471350364768829880544526898814888838104266685646513039007894238907142865517216623555251658138527920091633781172374677895 +/- 3.00e-161],[0.9032012457594090646211803470748370824915167815749869027972749830522628850004992742103737333351507894238907142865517216623555251658138527920091633781172374677895 +/- 3.00e-161],True,9.999999943218805e-13
4,7,w_1,0.24884518534525921663992978456012617103537092091228069577265651831881316356768399,1.0e-12,[0.2488451853442592166354552578873331488492011563032046130662051023031881635676839900000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 7.56e-163],[0.2488451853462592166444043112329191932215406855213567784791079343344381635676839900000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 7.56e-163],[0.2488451853452592166171533248425969542066528679295672780248055924980281128216305352668527431734127818092799568850372828035858372632038568400273765289736808001784 +/- 2.44e-161],[0.2488451853452592166627062442776553878640889738949941135205074441395982143137374497871164150484127818092799568850372828035858372632038568400273765289736808001784 +/- 2.44e-161],True,9.99999981698067e-13
4,7,w_2,0.35453090041122809760839579011534711262420851781605455606480559013616013769432904,1.0e-12,[0.3545309004102280976039212634425540904380387532069784733583541741205351376943290400000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.85e-162],[0.3545309004122280976128703167881401348103782824251306387712570061517851376943290400000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.85e-162],[0.3545309004112280975977854737414358678030475714051690072935198988198805841188877964034363293271435201238290053771485706036993156282193238772730425865334726321484 +/- 3.26e-161],[0.3545309004112280976190061064892583574453694642269401048360912814524396912697702789321228527646435201238290053771485706036993156282193238772730425865334726321484 +/- 3.26e-161],True,9.999999938642103e-13
4,7,w_3,0.27043023488154012803757243993396795163793802851438604978820287874068382879897182,1.0e-12,[0.2704302348805401280330979132611749294517682639053099670817514627250588287989718200000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 7e-165],[0.2704302348825401280420469666067609738241077931234621324946542947563088287989718200000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 7e-165],[0.2704302348815401280192736371346605753080503762856182274254823489021859328187180067011522356162419402317949042297926305120167155300706158591707797889083529753046 +/- 1.56e-161],[0.2704302348815401280558712427332753279678256807431538721509234085791817247792256380030321184287419402317949042297926305120167155300706158591707797889083529753046 +/- 1.56e-161],True,9.999999861757238e-13
4,7,w_4,0.12619367936197255771410198539055876470248253275727869837433501280434286993901515,1.0e-12,[0.1261936793609725577096274587177657425163127681482026156678835967887178699390151500000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 3.75e-163],[0.1261936793629725577185765120633517868886522973663547810807864288199678699390151500000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 3.75e-163],[0.1261936793619725577009417934977797471398124412511517431051724977101483377997883532102847661019517578350961335080215160806981315785062034235288010955844935923687 +/- 2.10e-161],[0.1261936793619725577272621772833377822651526242634056536434975278985374020782419416960025395394517578350961335080215160806981315785062034235288010955844935923687 +/- 2.10e-161],True,9.999999913143348e-13
4,7,E,0.045979822253452817826732862406721126510329632319674157117054584015398474786722172,1.0e-12,[0.04597982225245281782225833573392810432415986771059807441060316799977347478672217200000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.28e-163],[0.04597982225445281783120738907951414869649939692875023982350600003102347478672217200000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.28e-163],[0.04597982225345281781424735676569477388590390819452908949756340471495907628379117367404798246645241587415595642866216834062688316676339014044920202758082781513393 +/- 2.07e-162],[0.04597982225345281783921836804774747913475535644481922473654576331583787328965317127841809965395241587415595642866216834062688316676339014044920202758082781513393 +/- 2.07e-162],True,9.999999919890211e-13
