n,k,extremum_index,b,stored_relative_error,recomputed_relative_error,absolute_discrepancy,derivative_residual,internal
2,0,0,0.08,-0.00002370867061683233,-0.000023708670615342016450768432808,1.49031354923e-15,0.023426600515,False
2,0,1,0.08487774356274205,0.00002370867061683233,0.0000237086706181942755221360715195,1.36194552214e-15,2.40580085097e-14,True
2,0,2,0.09788829501465637,-0.00002370867061683233,-0.0000237086706157261584411701467207,1.10617155883e-15,1.62222588988e-14,True
2,0,3,0.11299736066664212,0.00002370867061683233,0.0000237086706177454886340451161278,9.13158634045e-16,9.70681574328e-15,True
2,0,4,0.12,-0.00002370867061683233,-0.0000237086706159849751141540876587,8.47354885846e-16,0.0153293467781,False
2,1,0,0.08,-0.0003923368937989,-0.00039233689379776692417271836823,1.13307582728e-15,0.223383401156,False
2,1,1,0.08832764726216871,0.0003923368937989,0.000392336893799991175979808779132,1.09117597981e-15,1.36761939952e-14,True
2,1,2,0.1080857061440013,-0.0003923368937989,-0.000392336893798305034911647606409,5.94965088352e-16,1.71399077463e-14,True
2,1,3,0.12,0.0003923368937989,0.000392336893799525772413325476519,6.25772413325e-16,0.138454990619,False
2,2,0,0.08,-0.0064601602290408,-0.00646016022903880767280367414401,1.99232719633e-15,1.70682328161,False
2,2,1,0.09708140426775305,0.0064601602290408,0.00646016022904239987992736800185,1.59987992737e-15,1.00275357509e-14,True
2,2,2,0.12,-0.0064601602290408,-0.00646016022903965889768672773042,1.14110231327e-15,0.944743794971,False
2,3,0,0.08,-0.10500586736550088,-0.105005867365500978804070351831,9.88040703518e-17,7.29188164814,False
2,3,1,0.12,0.10500586736550055,0.105005867365500712508014871174,1.62508014871e-16,3.44478329446,False
2,4,0,0.08,-0.688197332678553,-0.688197332678552968020132975764,3.19798670242e-17,3.72375880511,False
2,4,1,0.12,-0.5471455923617825,-0.547145592361782324619073239578,1.7538092676e-16,3.30342123666,False
3,0,0,0.08,-0.00000005945927845268444,-0.0000000594592744191914325250730213145,4.03349300747e-15,0.000131962704705,False
3,0,1,0.082200877706839,0.00000005945927845268444,0.0000000594592822732845445067063196674,3.82060010451e-15,9.30814010121e-14,True
3,0,2,0.08851062142892965,-0.00000005945927845268444,-0.000000059459275161460820433410627149,3.29122361957e-15,7.555616168e-14,True
3,0,3,0.09790733045158673,0.00000005945927845268444,0.0000000594592811271453728497990283092,2.67446093285e-15,5.6922120587e-14,True
3,0,4,0.10834097675884966,-0.00000005945927845268444,-0.0000000594592762941001543683345128251,2.15858428563e-15,4.28608183775e-14,True
3,0,5,0.11674332773860012,0.00000005945927845268444,0.0000000594592802869156442452439079314,1.83423120425e-15,3.47195064982e-14,True
3,0,6,0.12,-0.00000005945927845268444,-0.0000000594592767272105686778695322113,1.72547387132e-15,8.66870269329e-5,False
3,1,0,0.08,-0.0000009826042255242402,-0.000000982604219988709546075361963561,5.53553065392e-15,0.0015364960077,False
3,1,1,0.08311195903016726,0.0000009826042255242402,0.000000982604230573215512527879380132,5.04897531253e-15,1.47230528639e-13,True
3,1,2,0.09185817314869266,-0.0000009826042255242402,-0.000000982604221574364478346283307593,3.94987572165e-15,1.06708064579e-13,True
3,1,3,0.10406394938822426,0.0000009826042255242402,0.00000098260422841262654719104166874,2.88838634719e-15,7.02782067521e-14,True
3,1,4,0.11531612403051318,-0.0000009826042255242402,-0.000000982604223300637488144421784837,2.22360271186e-15,4.938782364e-14,True
3,1,5,0.12,0.0000009826042255242402,0.000000982604227532037732232285023774,2.00779753223e-15,0.000977153889691,False
3,2,0,0.08,-0.000016173575839220873,-0.0000161735758343069310741452785713,4.91394192585e-15,0.016543580685,False
3,2,1,0.08472730083126158,0.000016173575839220873,0.0000161735758435831928169244431565,4.36231981692e-15,1.07378834363e-13,True
3,2,2,0.09750937520775886,-0.000016173575839220873,-0.0000161735758359835109425009263326,3.2373620575e-15,7.16573948649e-14,True
3,2,3,0.11275253361650682,0.000016173575839220873,0.0000161735758415852018065974573751,2.3643288066e-15,4.53170476345e-14,True
3,2,4,0.12,-0.000016173575839220873,-0.0000161735758371566351798355009028,2.06423782016e-15,0.0100126722257,False
3,3,0,0.08,-0.0002658420008321,-0.000265842000828599376033256802666,3.50062396674e-15,0.158540130215,False
3,3,1,0.08801027875057776,0.0002658420008321,0.000265842000835108828656332177935,3.00882865633e-15,6.6301828249e-14,True
3,3,2,0.10761564493934374,-0.0002658420008321,-0.000265842000830216590692005500073,1.88340930799e-15,4.08739964072e-14,True
3,3,3,0.12,0.0002658420008321,0.000265842000833678202611881211802,1.57820261188e-15,0.0883300844738,False
3,4,0,0.08,-0.004365404472745804,-0.00436540447274580604023823210783,2.04023823211e-18,1.23669586247,False
3,4,1,0.09632641132740649,0.004365404472746137,0.00436540447274593824559160742472,1.98754408393e-16,7.15580483291e-16,True
3,4,2,0.12,-0.004365404472746026,-0.00436540447274584560183456176727,1.80398165438e-16,0.581911633695,False
3,5,0,0.08,-0.06980804604156177,-0.0698080460415617886871844309982,1.8687184431e-17,5.72274081278,False
