k,fraction_of_certified_area
0,0.22279020977858455
1,0.09216360036506357
2,0.08299046279626092
3,0.08462792936118856
4,0.08478253280335939
5,0.08460465572473275
6,0.08116680713968671
7,0.06934213741752406
8,0.19753166461359944
