k,structural_lower,structural_upper,relative_width,worst_midpoint_b,subinterval_count
0,5.551790138724755e-09,5.556272156829209e-09,0.0008066592092587541,0.08000020000000001,100000
1,9.166161873963574e-08,9.171890934323983e-08,0.0006246324123817099,0.08000020000000001,100000
2,1.508407343919771e-06,1.5091106109975645e-06,0.0004660142687146593,0.08000020000000001,100000
3,2.479249098996661e-05,2.4800693134481956e-05,0.0003307223903328369,0.08000020000000001,100000
4,0.00040725183188072833,0.0004073409312170951,0.00021873406166313981,0.08000020000000001,100000
5,0.006687374486887165,0.00668824414552235,0.00013002794399580975,0.08000020000000001,100000
6,0.10969909229893204,0.10970616820442168,6.449870235602384e-05,0.08000020000000001,100000
7,1.7138219534198882,1.713859928120774,2.2157412203157303e-05,0.08000020000000001,100000
8,16.029665900067073,16.029750954933455,5.30606287153936e-06,0.08000020000000001,100000
