n,k,dimension_d,unknowns,equations,internal_extrema,sign_pattern,point_residual_max,jacobian_condition_estimate,verdict,radius,radius_exponent,krawczyk_q_norm_upper,minimum_inclusion_margin,minimum_y_ordering_margin,minimum_weight_lower_bound,minimum_b_ordering_margin,E_lower_bound,all_residual_intervals_contain_zero
2,3,1,5,5,0,"[-1, 1]",3.3136398145164656619e-181,617.830718275,CERTIFIED,1.0e-12,12,1.7404150215177898e-09,9.999862343365258e-13,0.023975033031059214,0.48154391984869144,,0.10500586736450082,True
3,4,2,8,8,1,"[-1, 1, -1]",4.2112106048320796826e-180,58748.7774881,CERTIFIED,1.0e-12,12,2.7403434225957063e-08,9.999987982191162e-13,0.004859908968323634,0.1733930820170607,0.0163264113264065,0.004365404471745891,True
3,5,1,7,7,0,"[-1, 1]",1.5061999156893025736e-181,15003.2284406,CERTIFIED,1.0e-12,12,3.431829486521415e-09,9.999914809902656e-13,0.014337704145548202,0.22826762142155904,,0.06980804604056093,True
4,5,3,11,11,2,"[-1, 1, -1, 1]",3.4509252006161210647e-180,788449.156568,CERTIFIED,1.0e-12,12,5.822799669161531e-07,9.999974097985672e-13,0.0020491896026606517,0.10140746149803026,0.007704157839579867,0.0001794333484525005,True
4,6,2,10,10,1,"[-1, 1, -1]",2.7770560945521516201e-181,1447648.01789,CERTIFIED,1.0e-12,12,4.375754650482247e-08,9.999992001067058e-13,0.003941092003737934,0.1490107605465006,0.015587797000743895,0.002943219480788431,True
4,7,1,9,9,0,"[-1, 1]",1.0543399409825118015e-181,425917.731955,CERTIFIED,1.0e-12,12,3.4386796885335516e-08,9.999949082492807e-13,0.00986043486706624,0.12619367936097256,,0.04597982225245281,True
