rho,matched_moments_k,transfer_lower,transfer_upper,tail_enclosure_width,generic_operator_bound,generic_to_transfer_upper_factor,sharpness_witness_fraction,structural_absolute_error
1.05,0,6.68389933362691,6.683899335399285,1.772374247366315e-09,73.18030915963787,10.9487449597064,0.9999999997348293,5.556181292831752e-09
1.05,1,8.126060078296355,8.126060080330774,2.0344188556009613e-09,76.19047619047609,9.376066068585446,0.9999999997496426,9.171779424832494e-08
1.05,2,6.755879513548267,6.755879515582686,2.0344188556009613e-09,69.10700788251799,10.229165236461089,0.9999999996988669,1.5090968901176893e-06
1.05,3,5.5234937270054285,5.523493729039847,2.0344188556009613e-09,62.68209331747664,11.348269119583614,0.999999999631679,2.4800532749225113e-05
1.05,4,4.681030201337719,4.681030203372138,2.0344188556009613e-09,56.85450641040964,12.145725180207679,0.9999999995653908,0.000407339187390221
1.1,0,3.3211641776628715,3.3211641776628715,0.0,38.33254289314368,11.541899419172521,1.0,5.556181292831752e-09
1.1,1,3.630329945985313,3.630329945985313,0.0,36.363636363636346,10.016620225897082,1.0,9.171779424832494e-08
1.1,2,2.9071055854084804,2.9071055854084804,0.0,30.05259203606309,10.33763348221849,1.0,1.5090968901176893e-06
1.1,3,2.2148270248512443,2.2148270248512443,0.0,24.836852922366184,11.213901873007133,1.0,2.4800532749225113e-05
1.1,4,1.690175714016851,1.690175714016851,0.0,20.52632472922825,12.144491580964464,1.0,0.000407339187390221
1.25,0,1.4494669105859292,1.4494669105859292,0.0,17.423883133247138,12.020890581216335,1.0,5.556181292831752e-09
1.25,1,1.0936349131577285,1.0936349131577285,0.0,12.8,11.704088673469345,1.0,9.171779424832494e-08
1.25,2,0.7563130467682214,0.7563130467682214,0.0,8.192000000000002,10.831493698284053,1.0,1.5090968901176893e-06
1.25,3,0.4701574471543233,0.4701574471543233,0.0,5.242880000000001,11.151328202356629,1.0,2.4800532749225113e-05
1.25,4,0.2960515887810356,0.2960515887810356,0.0,3.3554432000000007,11.333981397687209,1.0,0.000407339187390221
1.5,0,0.9112419457658265,0.9112419457658265,0.0,10.45432987994828,11.47261704591775,1.0,5.556181292831752e-09
1.5,1,0.3954653992164314,0.3954653992164314,0.0,5.333333333333332,13.48621989155236,1.0,9.171779424832494e-08
1.5,2,0.2046569647050163,0.2046569647050163,0.0,2.37037037037037,11.582163225116327,1.0,1.5090968901176893e-06
1.5,3,0.09598563744829992,0.09598563744829992,0.0,1.0534979423868311,10.975578955281403,1.0,2.4800532749225113e-05
1.5,4,0.044924244590447235,0.044924244590447235,0.0,0.46822130772748055,10.422463682940679,1.0,0.000407339187390221
2.0,0,0.6754902351468185,0.6754902351468185,0.0,6.969553253298853,10.317770547466187,1.0,5.556181292831752e-09
2.0,1,0.1374797547779098,0.1374797547779098,0.0,1.9999999999999998,14.547596504160765,1.0,9.171779424832494e-08
2.0,2,0.04151356351298401,0.04151356351298401,0.0,0.49999999999999994,12.044256327058436,1.0,1.5090968901176893e-06
2.0,3,0.01184485435536254,0.01184485435536254,0.0,0.125,10.553105698881687,1.0,2.4800532749225113e-05
2.0,4,0.003336849293787634,0.003336849293787634,0.0,0.03125,9.365121780650856,1.0,0.000407339187390221
3.0,0,0.5748889485790212,0.5748889485790212,0.0,5.22716493997414,9.092477691377365,1.0,5.556181292831752e-09
3.0,1,0.046601649800027845,0.046601649800027845,0.0,0.6666666666666665,14.305645176241555,1.0,9.171779424832494e-08
3.0,2,0.006389129774268324,0.006389129774268324,0.0,0.07407407407407406,11.593765769542054,1.0,1.5090968901176893e-06
3.0,3,0.0008495162718562782,0.0008495162718562782,0.0,0.008230452674897118,9.688399089652226,1.0,2.4800532749225113e-05
3.0,4,0.00011179363245489136,0.00011179363245489136,0.0,0.0009144947416552355,8.180204199234991,1.0,0.000407339187390221
5.0,0,0.5351167403189353,0.5351167403189353,0.0,4.355970783311783,8.140225216493091,1.0,5.556181292831752e-09
5.0,1,0.014905748073953994,0.014905748073953994,0.0,0.19999999999999996,13.417642577058977,1.0,9.171779424832494e-08
5.0,2,0.000746221868694174,0.000746221868694174,0.0,0.007999999999999998,10.720672142722552,1.0,1.5090968901176893e-06
5.0,3,3.657647699426883e-05,3.657647699426883e-05,0.0,0.00031999999999999997,8.748792292110057,1.0,2.4800532749225113e-05
5.0,4,1.7784203134427055e-06,1.7784203134427055e-06,0.0,1.28e-05,7.19739867074588,1.0,0.000407339187390221
10.0,0,0.520049566236155,0.520049566236155,0.0,3.871974029610474,7.445394210466867,1.0,5.556181292831752e-09
10.0,1,0.0035601143958351672,0.0035601143958351672,0.0,0.04444444444444444,12.483993350449127,1.0,9.171779424832494e-08
10.0,2,4.486942414802487e-05,4.486942414802487e-05,0.0,0.0004444444444444444,9.905285233396707,1.0,1.5090968901176893e-06
10.0,3,5.555065045055628e-07,5.555065045055628e-07,0.0,4.444444444444444e-06,8.000706397489065,1.0,2.4800532749225113e-05
10.0,4,6.827796905918401e-09,6.827796905918401e-09,0.0,4.444444444444445e-08,6.509338964947767,1.0,0.000407339187390221
