matched_moments_k,structural_lower,structural_upper,enclosure_width,relative_enclosure_width,upper_bound_box_a,upper_bound_box_b,subdivisions
0,5.556138660267606e-09,5.6298120303860665e-09,7.367337011846067e-11,0.013086293062862438,0.08,0.080008,5000
1,9.171774451033342e-08,9.179141819585892e-08,7.367368552550535e-11,0.0008026206259097657,0.08,0.080008,5000
2,1.5090968332742703e-06,1.5091704576680538e-06,7.362439378354306e-11,4.878467731027965e-05,0.08,0.080008,5000
3,2.4800532735014255e-05,2.4800606047867544e-05,7.331285328910308e-11,2.9560911998522235e-06,0.08,0.080008,5000
4,0.00040733918734048297,0.00040733925911064293,7.177015996480754e-11,1.7619259219331245e-07,0.08,0.080008,5000
