n,k,dimension_d,unknowns,equations,internal_extrema,sign_pattern,point_residual_max,jacobian_condition_estimate,verdict,radius,radius_exponent,krawczyk_q_norm_upper,minimum_inclusion_margin,minimum_y_ordering_margin,minimum_weight_lower_bound,minimum_b_ordering_margin,E_lower_bound,all_residual_intervals_contain_zero
2,3,1,5,5,0,"[-1, 1]",1.3555799241203723162e-181,617.830718275,CERTIFIED,1.0e-12,12,1.740414834264749e-09,1.0000000027341118e-12,0.023975033031059214,0.48154391984869144,,0.10500586736450084,True
3,4,2,8,8,1,"[-1, 1, -1]",2.9370898355941400185e-181,58748.7774881,CERTIFIED,1.0e-12,12,2.7403431523364548e-08,9.999999770710946e-13,0.004859908968323634,0.1733930820170607,0.0163264113264065,0.004365404471745892,True
3,5,1,7,7,0,"[-1, 1]",2.2592998735339538604e-181,15003.2284406,CERTIFIED,1.0e-12,12,3.4318287531381513e-09,1.0000000010426979e-12,0.014337704145548202,0.22826762142155904,,0.06980804604056094,True
4,5,3,11,11,2,"[-1, 1, -1, 1]",1.7254626003080604996e-180,788449.156568,CERTIFIED,1.0e-12,12,5.822799461018218e-07,9.999994221945712e-13,0.0020491896026606517,0.10140746149803026,0.007704157839579867,0.00017943334845250058,True
4,6,2,10,10,1,"[-1, 1, -1]",2.4099198651028841177e-181,1447648.01789,CERTIFIED,1.0e-12,12,4.375754222043456e-08,9.999999607169839e-13,0.003941092003737934,0.1490107605465006,0.015587797000743895,0.002943219480788432,True
4,7,1,9,9,0,"[-1, 1]",2.0333698861805584743e-181,425917.731955,CERTIFIED,1.0e-12,12,3.438679688041701e-08,9.999999700877293e-13,0.00986043486706624,0.12619367936097256,,0.04597982225245282,True
