n,k,variable,center,radius,lower,upper,krawczyk_lower,krawczyk_upper
4,6,y_2,0.10290197368502874450231147154937032858824124698617567882262725402894760667786662,1.0e-12,[0.102901973684028744497836944876577306402071482377099596116175838013322606677866616330060611146435778428423299417588547976415854332961834570870765541681615339390300000000000000000000 +/- 5.30e-183],[0.102901973686028744506785998222163350774411011595251761529078670044572606677866616330060611146435778428423299417588547976415854332961834570870765541681615339390300000000000000000000 +/- 5.30e-183],[0.102901973685028744490734451460902904178002518954812522414642660330190881034105160317334781068310778428423299417588547976415854332961834570870765541681615339390292942785218135071071 +/- 8.35e-182],[0.102901973685028744513888491637837752998479975017538835230611847727704332321628072342786441224560778428423299417588547976415854332961834570870765541681615339390292942785218135071071 +/- 8.35e-182]
4,6,y_3,0.46867890793284071548322983200022477729265375496977465014738754856879260485503631,1.0e-12,[0.468678907931840715478755305327431755106483990360698567440936132553167604855036306489513768539447091063342914848650395132751931216749802118246707245193363117898700000000000000000000 +/- 2.84e-182],[0.468678907933840715487704358673017799478823519578850732853838964584417604855036306489513768539447091063342914848650395132751931216749802118246707245193363117898700000000000000000000 +/- 2.84e-182],[0.468678907932840715468971053528660351319628715928499948166010932735196016509791779626415624008197091063342914848650395132751931216749802118246707245193363117898696279040415776090764 +/- 4.60e-181],[0.468678907932840715497488610471789203265678794011049352128764164402389193200280833352611913070697091063342914848650395132751931216749802118246707245193363117898696279040415776090764 +/- 4.60e-181]
4,6,y_4,0.87692826900784652133616988630474178375740197925936747439949446699394868890769854,1.0e-12,[0.876928269006846521331695359631948761571232214650291391693043050978323688907698536902776584975788798997167453806921117107986942589448966327541663003349548767127800000000000000000000 +/- 2.33e-182],[0.876928269008846521340644412977534805943571743868443557105945883009573688907698536902776584975788798997167453806921117107986942589448966327541663003349548767127800000000000000000000 +/- 2.33e-182],[0.876928269007846521331866466533538399259158400064628791084714075040912601691820467501989231460163798997167453806921117107986942589448966327541663003349548767127781406849710537210298 +/- 3.28e-181],[0.876928269007846521340473306075945168255645558454106157714274858946984776123576606303563938491413798997167453806921117107986942589448966327541663003349548767127781406849710537210298 +/- 3.28e-181]
4,6,w_1,0.14901076054750058705681559023673437029469061359360411751047631460076980961401519,1.0e-12,[0.149010760546500587052341063563941348108520848984528034804024898585144809614015188606009865562986561915429061541692138731095333285817076132150717336287550095838200000000000000000000 +/- 1.09e-182],[0.149010760548500587061290116909527392480860378202680200216927730616394809614015188606009865562986561915429061541692138731095333285817076132150717336287550095838200000000000000000000 +/- 1.09e-182],[0.149010760547500587037863863548264646255147337329429320422163052250912995942947831542716408531736561915429061541692138731095333285817076132150717336287550095838182651341590156401332 +/- 1.99e-181],[0.149010760547500587075767316925204094334233889857778914598789576950626623285082545669303322594236561915429061541692138731095333285817076132150717336287550095838182651341590156401332 +/- 1.99e-181]
4,6,w_2,0.36029433243365671170314618268249509515049853047376720028510615000308626360334791,1.0e-12,[0.360294332432656711698671656009702072964328765864691117578654733987461263603347907657187134197265211343129400654509376806893349999680749969270829992241379842613800000000000000000000 +/- 2.46e-182],[0.360294332434656711707620709355288117336668295082843282991557566018711263603347907657187134197265211343129400654509376806893349999680749969270829992241379842613800000000000000000000 +/- 2.46e-182],[0.360294332433656711688319535607491838565545893249098082658010078970475483509529004687826782634765211343129400654509376806893349999680749969270829992241379842613833782609694538776333 +/- 1.53e-181],[0.360294332433656711717972829757498351735451167698436317912202221035697043697166810626547485759765211343129400654509376806893349999680749969270829992241379842613833782609694538776333 +/- 1.53e-181]
4,6,w_3,0.32978169216754234738977225840477601304201905465970952164621573216725803578884413,1.0e-12,[0.329781692166542347385297731731982990855849290050633438939764316151633035788844131439603698415089701730449155920427871609615285112156255585965465510234785045042000000000000000000000 +/- 9.83e-183],[0.329781692168542347394246785077569035228188819268785604352667148182883035788844131439603698415089701730449155920427871609615285112156255585965465510234785045042000000000000000000000 +/- 9.83e-183],[0.329781692167542347380419849936807390289974585719703293601889745608042655677134894340909850758839701730449155920427871609615285112156255585965465510234785045042046036830228133361241 +/- 4.53e-181],[0.329781692167542347399124666872744635794063523599715749690541718726473415900553368538297546071339701730449155920427871609615285112156255585965465510234785045042046036830228133361241 +/- 4.53e-181]
4,6,w_4,0.16091321485130035385026596867599452151279180127291916055820180322888589099379277,1.0e-12,[0.160913214850300353845791442003201499326622036663843077851750387213260890993792772297199301824658525010992381883370612852396031602345918312612987161236285016505900000000000000000000 +/- 6.84e-183],[0.160913214852300353854740495348787543698961565881995243264653219244510890993792772297199301824658525010992381883370612852396031602345918312612987161236285016505900000000000000000000 +/- 6.84e-183],[0.160913214851300353844551350443891956262473548460219055657556765953077755247745871547992758855908525010992381883370612852396031602345918312612987161236285016505937529218487171461094 +/- 3.76e-181],[0.160913214851300353855980586908097086763110054085619265458846840504694026739839673046405844793408525010992381883370612852396031602345918312612987161236285016505937529218487171461094 +/- 3.76e-181]
4,6,b_1,0.095587797001743895047819679843276293982629281076550022952141396265296557590040884,1.0e-12,[0.0955877970007438950433451531704832717964595164674739402456899802496715575900408835019893459439869202588871991275260327267652657215452086723187480194595395957348800000000000000000000 +/- 5.24e-183],[0.0955877970027438950522942065160693161687990456856261056585928122809215575900408835019893459439869202588871991275260327267652657215452086723187480194595395957348800000000000000000000 +/- 5.24e-183],[0.0955877970017438950040621369951024815892182377957754750432346276534823711473974794950313381314869202588871991275260327267652657215452086723187480194595395957348778246423072834131914 +/- 2.04e-183],[0.0955877970017438950915772226914501063760403243573245708610481648771107440326842875089473537564869202588871991275260327267652657215452086723187480194595395957348778246423072834131914 +/- 2.04e-183]
4,6,E,0.0029432194817884319289499011184712058188596397471757218799202878725243779885476891,1.0e-12,[0.00294321948078843192447537444567818363268987513809963917346887185689937798854768906317420404480722910991250923533554323897472523497431233243066158935328369572795700000000000000000000 +/- 1.51e-184],[0.00294321948278843193342442779126422800502940435625180458637170388814937798854768906317420404480722910991250923533554323897472523497431233243066158935328369572795700000000000000000000 +/- 1.51e-184],[0.00294321948178843191666167530199191288400156931898010469464618566039079344448507462225623529480722910991250923533554323897472523497431233243066158935328369572795725708061431689244622 +/- 1.65e-183],[0.00294321948178843194123812693495049875371771017537133906519439008465796253261030350409217279480722910991250923533554323897472523497431233243066158935328369572795725708061431689244622 +/- 1.65e-183]
4,7,y_1,0.0098604348680662390098174165392115972217096269705003642158705356971640982418924117,1.0e-12,[0.00986043486706623900534288986641857503553986236142428150941911968153909824189241168146661228515118552193517221350964931072132167642717047340335292447974085277270900000000000000000000 +/- 6.8e-185],[0.00986043486906623901429194321200461940787939157957644692232195171278909824189241168146661228515118552193517221350964931072132167642717047340335292447974085277270900000000000000000000 +/- 6.8e-185],[0.00986043486806623900835791713167224897880065691785232692999822900738173543225485024099877781249493552193517221350964931072132167642717047340335292447974085277270894201883806115227132 +/- 5.01e-184],[0.00986043486806623901127691594675094546461859702314840150174284238694646105152997312193444675780743552193517221350964931072132167642717047340335292447974085277270894201883806115227132 +/- 5.01e-184]
4,7,y_2,0.18412559927122428298845532922351416587072850470701504238035595007714170745282434,1.0e-12,[0.184125599270224282983980802550721143684558740097938959673904534061516707452824341550388251185298920037615425429231689458880676903735753484892703240022248693401900000000000000000000 +/- 5.96e-183],[0.184125599272224282992929855896307188056898269316091125086807366092766707452824341550388251185298920037615425429231689458880676903735753484892703240022248693401900000000000000000000 +/- 5.96e-183],[0.184125599271224282962023001607397101998389531559316910714339087026569424352487551465549383997798920037615425429231689458880676903735753484892703240022248693401910964188923480282957 +/- 3.55e-182],[0.184125599271224283014887656839631229743067477854713174046372813127713990553161131635227118372798920037615425429231689458880676903735753484892703240022248693401910964188923480282957 +/- 3.55e-182]
4,7,y_3,0.56067365674677874025794130285526288649197848628391176739602849069169966994314579,1.0e-12,[0.560673656745778740253466776182469864305808721674835684689577074676074669943145792064912928732456038963962870604187718787784106642065254919973057738264836222126500000000000000000000 +/- 1.27e-182],[0.560673656747778740262415829528055908678148250892987850102479906707324669943145792064912928732456038963962870604187718787784106642065254919973057738264836222126500000000000000000000 +/- 1.27e-182],[0.560673656746778740223554505565732220995332990903524931464143331834841927294574062404878749044956038963962870604187718787784106642065254919973057738264836222126492194237780958232073 +/- 1.03e-181],[0.560673656746778740292328100144793551988623981664298603327913649548557412591717521724947108419956038963962870604187718787784106642065254919973057738264836222126492194237780958232073 +/- 1.03e-181]
4,7,y_4,0.90320124575940906461102770095162074223838195830573189289266471787107218694215485,1.0e-12,[0.903201245758409064606553174278827720052212193696655810186213301855447186942154850439469192319525789423890714286551721662355525165813852792009163378117237467789700000000000000000000 +/- 4.52e-183],[0.903201245760409064615502227624413764424551722914807975599116133886697186942154850439469192319525789423890714286551721662355525165813852792009163378117237467789700000000000000000000 +/- 4.52e-183],[0.903201245759409064600875054841026176468783323923064540032579032364652791845554794744889114194525789423890714286551721662355525165813852792009163378117237467789725048934172549672600 +/- 4.29e-181],[0.903201245759409064621180347062215308007980592688399245752750403377491582038754906134049270444525789423890714286551721662355525165813852792009163378117237467789725048934172549672600 +/- 4.29e-181]
4,7,w_1,0.24884518534525921663992978456012617103537092091228069577265651831881316356768399,1.0e-12,[0.248845185344259216635455257887333148849201156303204613066205102303188163567683992526984579110912781809279956885037282803585837263203856840027376528973680800179100000000000000000000 +/- 1.19e-182],[0.248845185346259216644404311232919193221540685521356778479107934334438163567683992526984579110912781809279956885037282803585837263203856840027376528973680800179100000000000000000000 +/- 1.19e-182],[0.248845185345259216617153324514430817634711956878288194867166520953974235816276965282416708017162781809279956885037282803585837263203856840027376528973680800179063765034077360232515 +/- 2.15e-181],[0.248845185345259216662706244605821524436029884946273196678146515683652091319091019771552450204662781809279956885037282803585837263203856840027376528973680800179063765034077360232515 +/- 2.15e-181]
4,7,w_2,0.35453090041122809760839579011534711262420851781605455606480559013616013769432904,1.0e-12,[0.354530900410228097603921263442554090438038753206978473358354174120535137694329037667779591045893520123829005377148570603699315628219323877273042586533472632148500000000000000000000 +/- 1.35e-182],[0.354530900412228097612870316788140134810378282425130638771257006151785137694329037667779591045893520123829005377148570603699315628219323877273042586533472632148500000000000000000000 +/- 1.35e-182],[0.354530900411228097597785473526865701582932360333178837536602044348768433769233539105920460186518520123829005377148570603699315628219323877273042586533472632148519629197641028870815 +/- 4.81e-181],[0.354530900411228097619006106703828523665484675298930274593009135923551841619424536229638721905268520123829005377148570603699315628219323877273042586533472632148519629197641028870815 +/- 4.81e-181]
4,7,w_3,0.27043023488154012803757243993396795163793802851438604978820287874068382879897182,1.0e-12,[0.270430234880540128033097913261174929451768263905309967081751462725058828798971822352092177022491940231794904229792630512016715530070615859170779788908352975304100000000000000000000 +/- 1.13e-182],[0.270430234882540128042046966606760973824107793123462132494654294756308828798971822352092177022491940231794904229792630512016715530070615859170779788908352975304100000000000000000000 +/- 1.13e-182],[0.270430234881540128019273637084173477373905620739267599247384030203100720971740534395854384053741940231794904229792630512016715530070615859170779788908352975304060144465916040846283 +/- 5.29e-182],[0.270430234881540128055871242783762425901970436289504500329021727278266936626203110308329969991241940231794904229792630512016715530070615859170779788908352975304060144465916040846283 +/- 5.29e-182]
4,7,w_4,0.12619367936197255771410198539055876470248253275727869837433501280434286993901515,1.0e-12,[0.126193679360972557709627458717765742516312768148202615667883596788717869939015147453143652820701757835096133508021516080698131578506203423528801095584493592368400000000000000000000 +/- 1.19e-182],[0.126193679362972557718576512063351786888652297366354781080786428819967869939015147453143652820701757835096133508021516080698131578506203423528801095584493592368400000000000000000000 +/- 1.19e-182],[0.126193679361972557700941793485157972656276252364564086060647918035377034838043985133960303211326757835096133508021516080698131578506203423528801095584493592368356461302365570050387 +/- 1.83e-181],[0.126193679361972557727262177295959556748688813149993310688022107573308705039986309772327002430076757835096133508021516080698131578506203423528801095584493592368356461302365570050387 +/- 1.83e-181]
4,7,E,0.045979822253452817826732862406721126510329632319674157117054584015398474786722172,1.0e-12,[0.0459798222524528178222583357339281043241598677105980744106031679997734747867221724762330410602024158741559564286621683406268831667633901404492020275808278151341700000000000000000000 +/- 3.22e-183],[0.0459798222544528178312073890795141486964993969287502398235060000310234747867221724762330410602024158741559564286621683406268831667633901404492020275808278151341700000000000000000000 +/- 3.22e-183],[0.0459798222534528178142473542792052006292746975367606517262212087850123928201506626381287930133274158741559564286621683406268831667633901404492020275808278151341716659443028889294331 +/- 2.60e-182],[0.0459798222534528178392183705342370523913845671025876625078879592457845567532936823143372891070774158741559564286621683406268831667633901404492020275808278151341716659443028889294331 +/- 2.60e-182]
