matched_moments_k,structural_absolute_error,worst_b,signed_error_at_worst
0,5.556174187404395e-09,0.08,-5.556174187404395e-09
1,9.171778003747022e-08,0.08,-9.171778003747022e-08
2,1.5090968759068346e-06,0.08,-1.5090968759068346e-06
3,2.4800532763435967e-05,0.08,-2.4800532763435967e-05
4,0.00040733918737601016,0.08,-0.00040733918737601016
