method,evaluations,worst_relative_error,signed_relative_error,worst_a,worst_b
PMC-k0,8,4.522335969037172e-06,4.522335969037172e-06,0.03,0.08
PMC-k1,8,1.8046082270073427e-05,1.8046082270073427e-05,0.03,0.08
PMC-k2,8,3.758664824204949e-05,3.758664824204949e-05,0.03,0.08930786779596396
PMC-k3,8,0.00039186363545107294,-0.00039186363545107294,0.03,0.08
PMC-k4,8,0.001025563888323422,-0.001025563888323422,0.03,0.08448017860489843
Gauss-Legendre-8,8,0.4300499305920852,-0.4300499305920852,0.0,0.08
Composite-Simpson-9,9,0.07426762009836818,-0.07426762009836818,0.03,0.12
