n,k,node_index,reconstructed_positive_node_x,published_positive_node_x,absolute_node_difference,reconstructed_pair_weight,published_pair_weight,absolute_weight_difference
2,3,1,0.15483873233806592,0.15483873233806586,5.551115123125783e-17,0.48154391984969147,0.4815439198496914,5.551115123125783e-17
2,3,2,0.787823878724692,0.787823878724692,0.0,0.5184560801503085,0.5184560801503085,0.0
3,4,1,0.06971304733924355,0.06971304733924347,8.326672684688674e-17,0.17339308201806025,0.1733930820180605,2.498001805406602e-16
3,4,2,0.4238423867585845,0.42384238675858493,4.440892098500626e-16,0.5108340032640393,0.5108340032640394,1.1102230246251565e-16
3,4,3,0.8731152255688984,0.8731152255688985,1.1102230246251565e-16,0.3157729147179006,0.3157729147179001,4.996003610813204e-16
3,5,1,0.11974015260783419,0.11974015260783745,3.2612801348363973e-15,0.32481170621184846,0.3248117062118617,1.3211653993039363e-14
3,5,2,0.5594467917321163,0.5594467917321292,1.2878587085651816e-14,0.4469206723655854,0.4469206723655798,5.6066262743570405e-15
3,5,3,0.9094469607833496,0.909446960783353,3.3306690738754696e-15,0.22826762142256626,0.2282676214225584,7.854827899222983e-15
4,5,1,0.045267975475612024,0.0452679754756119,1.249000902703301e-16,0.10140746149902946,0.1014074614990291,3.608224830031759e-16
4,5,2,0.21991034475584792,0.21991034475584567,2.248201624865942e-15,0.28941637368550677,0.2894163736855025,4.274358644806853e-15
4,5,3,0.5968770491219092,0.5968770491219048,4.440892098500626e-15,0.39751746153573225,0.3975174615357337,1.4432899320127035e-15
4,5,4,0.9157813776500451,0.9157813776500439,1.2212453270876722e-15,0.21165870327973166,0.2116587032797347,3.0531133177191805e-15
4,6,1,0.06277811724429022,0.06277811724429062,4.0245584642661925e-16,0.14901076054749832,0.1490107605475014,3.0808688933348094e-15
4,6,2,0.3207833750134571,0.32078337501346715,1.0047518372857667e-14,0.3602943324336499,0.3602943324336604,1.049160758270773e-14
4,6,3,0.6846012766076555,0.6846012766076658,1.0325074129013956e-14,0.3297816921675476,0.3297816921675398,7.827072323607354e-15
4,6,4,0.9364444826084694,0.9364444826084717,2.3314683517128287e-15,0.16091321485130414,0.1609132148512982,5.9396931817445875e-15
4,7,1,0.0992997223967092,0.09929972239672777,1.8568480086855743e-14,0.24884518534521255,0.2488451853452769,6.433742427702782e-14
4,7,2,0.4290985892206656,0.42909858922075517,8.953948693601887e-14,0.35453090041120017,0.3545309004112293,2.914335439641036e-14
4,7,3,0.748781447918346,0.748781447918415,6.905587213168474e-14,0.270430234881582,0.2704302348815282,5.384581669432009e-14
4,7,4,0.9503690050498194,0.9503690050498356,1.6209256159527285e-14,0.12619367936200535,0.1261936793619655,3.985700658404312e-14
