k,certified_coordinate_area,fraction_of_total_domain,fraction_of_certified_area
0,20.76543052196502685546875,0.219044625759124755859375,0.2199339592294744716663549654011595287076865532074060220684495979053674957920329156536375537684683000
1,8.66652510166168212890625,0.091419041156768798828125,0.09179020759304282775388068075556386758930241256779502524780250607817467738919020011221245558256966523
2,7.85591275691986083984375,0.082868278026580810546875,0.08320472788479521226856181036095006545726575649897138582382644473536562558443987282588367308771273611
3,8.01872684955596923828125,0.084585726261138916015625,0.08492914905554516551337198429025621844024686740228165326351224985973443052178791845894894333270993080
4,8.05924108028411865234375,0.085013091564178466796875,0.08535824948569291191322236768281279221993641294183654385636805685431082850196371797269496914157471479
5,8.09370360374450683593750,0.08537662029266357421875,0.08572325416121189452029175238451468112960538619786796334393117636057602393865719094819524967271367122
6,7.84770255088806152343750,0.08278167247772216796875,0.08311777071254909294931737422853936786983355152421918832990461941275481578455208528146624275294557696
7,6.66040956974029541015625,0.070257484912872314453125,0.07054273424350102861417617355526463437441556012717411632691228726388629137834299607256405461006171685
8,18.44901101589202880859375,0.194609820842742919921875,0.1953999476341873948008228913409388442117074995324481017392930615298298111090331026743968580512436880
