n,k,internal_extremum_index,left,right,extremum_error_sign,expected_second_derivative_sign,second_derivative_lower,second_derivative_upper,signed_margin,certified
3,4,1,0.096316411327406501321140666597555987315895667454177,0.096336411327406501321140666597555987315895667454177,1,-1,-48.8476836699992418289184570312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-47.2675042133778333663940429687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,47.26750421337783,True
4,5,1,0.087694157840579867482413126829139399494985279816759,0.087714157840579867482413126829139399494985279816759,1,-1,-9.04083395376801490783691406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-6.79479550942778587341308593750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6.794795509427786,True
4,5,2,0.10711715881892533051398668551050991435516272867748,0.10713715881892533051398668551050991435516272867748,-1,1,3.39352655224502086639404296875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4.68876958079636096954345703125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3.393526552245021,True
4,6,1,0.09557779700174389495530816619915351259059495155324,0.09559779700174389495530816619915351259059495155324,1,-1,-34.7130813617259263992309570312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-33.0521061401814222335815429687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,33.05210614018142,True
