n,k,variable,center,radius,lower,upper,krawczyk_lower,krawczyk_upper
4,5,b_2,0.1071271588189253305139866855105099143551627286774836882592027001909524861142514,1.0e-12,[0.107127158817925330509512158837716892168992964068407605552751284175327486114251400561161465627939398488227529750291579887383124261192414521932673044397678104994800000000000000000000 +/- 3.64e-183],[0.107127158819925330518461212183302936541332493286559770965654116206577486114251400561161465627939398488227529750291579887383124261192414521932673044397678104994800000000000000000000 +/- 3.64e-183],[0.107127158818925331944102693561999483493214038795826825667780135620890795419536301189364919226672700362831780279194614470217559017259467969880231763039558673099466051969283661067015 +/- 4.91e-181],[0.107127158818925333108662644973069047363906663364508065006510073647408425042949387126864919226672700362831780279194614470217559017259467969880231763039558673099466051969283661067015 +/- 4.91e-181]
4,5,E,0.00017943334945250051333474906685113826221094449791257089801179325099037128892810513,1.0e-12,[0.000179433348452500508860222394058116076041179888836488191560377235365371288928105130405233390030288236886978667828176243894106679862057076254066334463852781294620500000000000000000000 +/- 6.26e-186],[0.000179433350452500517809275739644160448380709106988653604463209266615371288928105130405233390030288236886978667828176243894106679862057076254066334463852781294620500000000000000000000 +/- 6.26e-186],[0.000179433349452500572398076778721030793676500661755652188139771505480983427426070534351029997691693119589208800169003637329707907299367382069825554014679698553015119356233853327409906 +/- 2.10e-185],[0.000179433349452500602546823893359062353911398507642643634657682236498747619500607811572709685191693119589208800169003637329707907299367382069825554014679698553015119356233853327409906 +/- 2.10e-185]
4,6,y_1,0.0039410920047379337378846667803903838750900737861828255126742784872627097913290783,1.0e-12,[0.00394109200373793373341014010759736168892030917710674280622286247163770979132907831140154252819769338282672981130123786637243536448101209002755685536675210578526300000000000000000000 +/- 9.50e-185],[0.00394109200573793374235919345318340606125983839525890821912569450288770979132907831140154252819769338282672981130123786637243536448101209002755685536675210578526300000000000000000000 +/- 9.50e-185],[0.00394109200473793375299583060998031343716450914434091055843500895340105508787966207325241667715359039846942494454854156283842417985626387581459234473720332267168173393330382832088233 +/- 7.21e-184],[0.00394109200473793375516673105171444482279560542957960133381156664900948108973390296757004363027859039846942494454854156283842417985626387581459234473720332267168173393330382832088233 +/- 7.21e-184]
4,6,y_2,0.102901973685028744258584859924790782198281279607045969673057429369774459922513,1.0e-12,[0.102901973684028744254110333251997760012111514997969886966606013354149459922513003854443050786320518102108159203449298668647625193719495292067976781382922494392400000000000000000000 +/- 1.9e-184],[0.102901973686028744263059386597583804384451044216122052379508845385399459922513003854443050786320518102108159203449298668647625193719495292067976781382922494392400000000000000000000 +/- 1.9e-184],[0.102901973685028744490734449630745603093977049213393489338300305983117902541795406972170520207446238313094869553110058092668357944833513097207460852333237775109672226180733289142389 +/- 3.61e-182],[0.102901973685028744513888493467995052139949282386540345066397599064309212735185061131716418644946238313094869553110058092668357944833513097207460852333237775109672226180733289142389 +/- 3.61e-182]
4,6,y_3,0.46867890793284071528846215420112280343872753742554533812382249799276962868203569,1.0e-12,[0.468678907931840715283987627528329781252557772816469255417371081977144628682035691742389983281409412165618235813752381257697369578084956009986508450914719805985500000000000000000000 +/- 2.73e-182],[0.468678907933840715292936680873915825624897302034621420830273914008394628682035691742389983281409412165618235813752381257697369578084956009986508450914719805985500000000000000000000 +/- 2.73e-182],[0.468678907932840715468971052089778059140607041498006479716827714380291824076624475534449137605247927465069911321008694512574551766136805168549223175176091080250880914663848414449152 +/- 2.60e-181],[0.468678907932840715497488611910671493332908185722541689831185111895342076044829450662622965730247927465069911321008694512574551766136805168549223175176091080250880914663848414449152 +/- 2.60e-181]
4,6,y_4,0.87692826900784652128899495265001686374301621149791707630152240896005123124396789,1.0e-12,[0.876928269006846521284520425977223841556846446888840993595070992944426231243967893288846726509228056380475642717491312860879402799287605869607322475954516063618200000000000000000000 +/- 5.85e-182],[0.876928269008846521293469479322809885929185976106993159007973824975676231243967893288846726509228056380475642717491312860879402799287605869607322475954516063618200000000000000000000 +/- 5.85e-182],[0.876928269007846521331866466199061375176446115308377066276754615642997450651008800279298747863169002176018495115408017456150638737077331358253566200166560147148473095311858904308889 +/- 1.26e-181],[0.876928269007846521340473306410422191800351284687000256266118122311948682055216447126069988097544002176018495115408017456150638737077331358253566200166560147148473095311858904308889 +/- 1.26e-181]
4,6,w_1,0.14901076054750058658438713747740233918447440527215517943240547795074039505846197,1.0e-12,[0.149010760546500586579912610804609316998304640663079096725954061935115395058461972499515914236095864523950054905727699691103749664690540022442570354863805076736400000000000000000000 +/- 1.29e-182],[0.149010760548500586588861664150195361370644169881231262138856893966365395058461972499515914236095864523950054905727699691103749664690540022442570354863805076736400000000000000000000 +/- 1.29e-182],[0.149010760547500587037863859635514555892233277499665533056048350916796970033133456101883770457653852118497127936353189243124167246524745470980456587394751495403779474360868322903462 +/- 3.45e-181],[0.149010760547500587075767320837954183763756939712362494837914273974718433656776377549637676707653852118497127936353189243124167246524745470980456587394751495403779474360868322903462 +/- 3.45e-181]
4,6,w_2,0.36029433243365671193353328918498587476207575831047124357842626100209034729503739,1.0e-12,[0.360294332432656711929058762512192852575905993701395160871974844986465347295037393511062218749691357094269661497538024421123749539377111494398351336753080934125300000000000000000000 +/- 3.90e-183],[0.360294332434656711938007815857778896948245522919547326284877677017715347295037393511062218749691357094269661497538024421123749539377111494398351336753080934125300000000000000000000 +/- 3.90e-183],[0.360294332433656711688319533461790175627200614193931427596603591406689274502157259672527204862330921550319551562165140398581764929862594353604894486425754226137155147335348356495533 +/- 3.89e-181],[0.360294332433656711717972831903200013199410110083073057989152822894153841682880211561565290799830921550319551562165140398581764929862594353604894486425754226137155147335348356495533 +/- 3.89e-181]
4,6,w_3,0.3297816921675423475662566290743847742135314355415471012330418256216025775836389,1.0e-12,[0.329781692166542347561782102401591752027361670932471018526590409605977577583638895108213522446637470196094136162542251590132505594930082733214401840787476774435500000000000000000000 +/- 1.10e-182],[0.329781692168542347570731155747177796399701200150623183939493241637227577583638895108213522446637470196094136162542251590132505594930082733214401840787476774435500000000000000000000 +/- 1.10e-182],[0.329781692167542347380419848662008168287662209845578297561276633525984788459584027726991270458367489399387969452406861888182487913965424106977105106466572291017379826687806158917509 +/- 4.07e-181],[0.329781692167542347399124668147543859466061302816297476643893700948218746955364853341920469677117489399387969452406861888182487913965424106977105106466572291017379826687806158917509 +/- 4.07e-181]
4,6,w_4,0.16091321485130035391582294426322701183991840087582647575612643542556668006286174,1.0e-12,[0.160913214850300353911348417590433989653748636266750393049675019409941680062861738881208344567575308185686147434192024297639995201002265749944676467595637214702800000000000000000000 +/- 2.05e-183],[0.160913214852300353920297470936020034026088165484902558462577851441191680062861738881208344567575308185686147434192024297639995201002265749944676467595637214702800000000000000000000 +/- 2.05e-183],[0.160913214851300353844551349970575413498912436864808612087238538086986975543591203411363257151335236931795351049074808470111579909647236068437543819712921987441685551615977161683802 +/- 2.92e-182],[0.160913214851300353855980587381413630264763108984283100227872088246450969166512610634111059885710236931795351049074808470111579909647236068437543819712921987441685551615977161683802 +/- 2.92e-182]
4,6,b_1,0.095587797001743894955308166199153512590594951553240205124216645576295697504339425,1.0e-12,[0.0955877970007438949508336395263604904044251869441641224177652295606706975043394248348244956251845451283709552137477293559058644521374230286878577171473991566755900000000000000000000 +/- 4.6e-184],[0.0955877970027438949597826928719465347767647161623162878306680615919206975043394248348244956251845451283709552137477293559058644521374230286878577171473991566755900000000000000000000 +/- 4.6e-184],[0.0955877970017438950040621328046733573376799312384577402308226088732115912795068366019530443165961580960667463481925524984762585057336217584443794890213041903893484269830518155263942 +/- 1.47e-182],[0.0955877970017438950915772268818792391925314384942111136129570501449851307630540472953124193165961580960667463481925524984762585057336217584443794890213041903893484269830518155263942 +/- 1.47e-182]
