n,k,unknowns,max_absolute_difference,max_scaled_difference,worst_row,worst_column,verdict
2,3,5,2.8574684782056874555e-101,1.3262528453380418231e-101,4,2,PASS
3,4,8,7.3151193042065598862e-99,3.8467563377823903949e-101,7,0,PASS
3,5,7,4.5719495651290999289e-100,1.4059504497669140783e-101,6,0,PASS
4,5,11,1.4630238608413119772e-98,1.3717765663132526472e-99,9,0,PASS
4,6,10,2.9260477216826239545e-98,7.9456244992456342104e-101,9,0,PASS
4,7,9,9.1438991302581998577e-100,1.8106910240042443567e-101,7,0,PASS
