node_pairs_n,moment_depth_endpoint_k,ell,nominally_matched,approximate_half_moment,target_half_moment,absolute_residual
2,4,0,True,0.9999999999999998,1.0,2.220446049250313e-16
2,4,1,True,0.33333333333333326,0.3333333333333333,5.551115123125783e-17
2,4,2,True,0.19999999999999996,0.2,5.551115123125783e-17
2,4,3,True,0.14285714285714282,0.14285714285714285,2.7755575615628914e-17
2,4,4,False,0.10530612244897955,0.1111111111111111,0.005804988662131555
2,4,5,False,0.07801749271137025,0.09090909090909091,0.012891598197720663
3,6,0,True,0.9999999999999998,1.0,2.220446049250313e-16
3,6,1,True,0.3333333333333335,0.3333333333333333,1.6653345369377348e-16
3,6,2,True,0.20000000000000018,0.2,1.6653345369377348e-16
3,6,3,True,0.14285714285714302,0.14285714285714285,1.6653345369377348e-16
3,6,4,True,0.11111111111111127,0.1111111111111111,1.6653345369377348e-16
3,6,5,True,0.09090909090909104,0.09090909090909091,1.249000902703301e-16
3,6,6,False,0.07655403759299875,0.07692307692307693,0.0003690393300781747
3,6,7,False,0.06547455780041388,0.06666666666666667,0.001192108866252789
4,8,0,True,0.9999999999999999,1.0,1.1102230246251565e-16
4,8,1,True,0.3333333333333335,0.3333333333333333,1.6653345369377348e-16
4,8,2,True,0.20000000000000007,0.2,5.551115123125783e-17
4,8,3,True,0.14285714285714293,0.14285714285714285,8.326672684688674e-17
4,8,4,True,0.11111111111111117,0.1111111111111111,6.938893903907228e-17
4,8,5,True,0.09090909090909097,0.09090909090909091,5.551115123125783e-17
4,8,6,True,0.07692307692307697,0.07692307692307693,4.163336342344337e-17
4,8,7,True,0.06666666666666671,0.06666666666666667,4.163336342344337e-17
4,8,8,False,0.05880025525713174,0.058823529411764705,2.3274154632962896e-05
4,8,9,False,0.05253301086090521,0.05263157894736842,9.856808646320492e-05
5,10,0,True,0.9999999999999998,1.0,2.220446049250313e-16
5,10,1,True,0.3333333333333328,0.3333333333333333,4.996003610813204e-16
5,10,2,True,0.19999999999999957,0.2,4.440892098500626e-16
5,10,3,True,0.14285714285714252,0.14285714285714285,3.3306690738754696e-16
5,10,4,True,0.11111111111111083,0.1111111111111111,2.7755575615628914e-16
5,10,5,True,0.09090909090909066,0.09090909090909091,2.498001805406602e-16
5,10,6,True,0.0769230769230767,0.07692307692307693,2.220446049250313e-16
5,10,7,True,0.06666666666666647,0.06666666666666667,1.942890293094024e-16
5,10,8,True,0.058823529411764525,0.058823529411764705,1.8041124150158794e-16
5,10,9,True,0.05263157894736825,0.05263157894736842,1.6653345369377348e-16
5,10,10,False,0.04761758482388209,0.047619047619047616,1.4627951655243887e-06
5,10,11,False,0.043470598768573,0.043478260869565216,7.66210099221315e-06
