node_pairs_n,maximal_moment_depth_k,polynomial_exactness_degree,minimum_positive_node,maximum_positive_node,minimum_pair_weight,sum_pair_weights,max_node_difference_vs_2n_Gauss_Legendre,max_weight_difference_vs_2n_Gauss_Legendre
2,4,7,0.3399810435848563,0.8611363115940526,0.34785484513745374,0.9999999999999998,5.551115123125783e-17,3.3306690738754696e-16
3,6,11,0.2386191860831968,0.932469514203152,0.17132449237917058,0.9999999999999998,1.1102230246251565e-16,4.440892098500626e-16
4,8,15,0.18343464249564986,0.9602898564975362,0.10122853629037641,0.9999999999999999,8.326672684688674e-17,6.522560269672795e-16
5,10,19,0.1488743389816316,0.9739065285171717,0.06667134430868783,0.9999999999999998,3.885780586188048e-16,8.326672684688674e-16
