node_pairs_n,positive_node_index,gauss_jacobi_derived_x,gauss_legendre_positive_x,absolute_node_difference,gauss_jacobi_pair_weight,gauss_legendre_pair_weight,absolute_weight_difference
2,1,0.3399810435848563,0.33998104358485626,5.551115123125783e-17,0.6521451548625461,0.6521451548625464,3.3306690738754696e-16
2,2,0.8611363115940526,0.8611363115940526,0.0,0.34785484513745374,0.34785484513745357,1.6653345369377348e-16
3,1,0.2386191860831968,0.2386191860831969,1.1102230246251565e-16,0.4679139345726906,0.46791393457269104,4.440892098500626e-16
3,2,0.6612093864662645,0.6612093864662645,0.0,0.36076157304813866,0.3607615730481387,5.551115123125783e-17
3,3,0.932469514203152,0.9324695142031519,1.1102230246251565e-16,0.17132449237917058,0.17132449237917027,3.0531133177191805e-16
4,1,0.18343464249564986,0.18343464249564978,8.326672684688674e-17,0.36268378337836166,0.36268378337836166,0.0
4,2,0.525532409916329,0.525532409916329,0.0,0.31370664587788744,0.3137066458778869,5.551115123125783e-16
4,3,0.7966664774136267,0.7966664774136267,0.0,0.2223810344533744,0.22238103445337443,2.7755575615628914e-17
4,4,0.9602898564975362,0.9602898564975362,0.0,0.10122853629037641,0.10122853629037706,6.522560269672795e-16
5,1,0.1488743389816316,0.14887433898163122,3.885780586188048e-16,0.29552422471475365,0.2955242247147528,8.326672684688674e-16
5,2,0.4333953941292472,0.4333953941292472,0.0,0.26926671930999624,0.2692667193099965,2.7755575615628914e-16
5,3,0.6794095682990243,0.6794095682990244,1.1102230246251565e-16,0.2190863625159816,0.219086362515982,4.163336342344337e-16
5,4,0.8650633666889845,0.8650633666889845,0.0,0.14945134915058053,0.1494513491505804,1.3877787807814457e-16
5,5,0.9739065285171717,0.9739065285171717,0.0,0.06667134430868783,0.06667134430868814,3.0531133177191805e-16
