rho_lower,rho_upper,log10_tau_lower,log10_tau_upper,depth
4.993828125,5.0,6.775,6.800000000000001,4
4.987656250000001,4.993828125,6.775,6.800000000000001,4
4.981484375000001,4.987656250000001,6.775,6.800000000000001,4
4.9753125,4.981484375000001,6.775,6.800000000000001,4
4.969140625,4.9753125,6.775,6.800000000000001,4
4.96296875,4.969140625,6.775,6.800000000000001,4
4.956796875,4.96296875,6.775,6.800000000000001,4
4.9506250000000005,4.956796875,6.775,6.800000000000001,4
4.944453125000001,4.9506250000000005,6.775,6.800000000000001,4
4.93828125,4.944453125000001,6.775,6.800000000000001,4
4.932109375,4.93828125,6.775,6.800000000000001,4
4.9259375,4.932109375,6.775,6.800000000000001,4
4.919765625,4.9259375,6.775,6.800000000000001,4
4.91359375,4.919765625,6.775,6.800000000000001,4
4.907421875000001,4.91359375,6.775,6.800000000000001,4
4.90125,4.907421875000001,6.775,6.800000000000001,4
4.993828125,5.0,4.0,4.025,4
4.987656250000001,4.993828125,4.0,4.025,4
4.981484375000001,4.987656250000001,4.0,4.025,4
4.9753125,4.981484375000001,4.0,4.025,4
4.969140625,4.9753125,4.0,4.025,4
4.96296875,4.969140625,4.0,4.025,4
4.956796875,4.96296875,4.0,4.025,4
4.9506250000000005,4.956796875,4.0,4.025,4
4.944453125000001,4.9506250000000005,4.0,4.025,4
4.93828125,4.944453125000001,4.0,4.025,4
4.932109375,4.93828125,4.0,4.025,4
4.9259375,4.932109375,4.0,4.025,4
4.919765625,4.9259375,4.0,4.025,4
4.91359375,4.919765625,4.0,4.025,4
4.907421875000001,4.91359375,4.0,4.025,4
4.90125,4.907421875000001,4.0,4.025,4
4.993828125,5.0,3.975,4.0,4
4.987656250000001,4.993828125,3.975,4.0,4
4.956796875,4.96296875,1.5000000000000013,1.5250000000000012,4
4.9506250000000005,4.956796875,1.5000000000000013,1.5250000000000012,4
4.993828125,5.0,1.4750000000000014,1.5000000000000013,4
4.987656250000001,4.993828125,1.4750000000000014,1.5000000000000013,4
4.981484375000001,4.987656250000001,1.4750000000000014,1.5000000000000013,4
4.9753125,4.981484375000001,1.4750000000000014,1.5000000000000013,4
4.969140625,4.9753125,1.4750000000000014,1.5000000000000013,4
4.96296875,4.969140625,1.4750000000000014,1.5000000000000013,4
4.956796875,4.96296875,1.4750000000000014,1.5000000000000013,4
4.9506250000000005,4.956796875,1.4750000000000014,1.5000000000000013,4
4.944453125000001,4.9506250000000005,1.5000000000000013,1.5250000000000012,4
4.93828125,4.944453125000001,1.5000000000000013,1.5250000000000012,4
4.932109375,4.93828125,1.5000000000000013,1.5250000000000012,4
4.9259375,4.932109375,1.5000000000000013,1.5250000000000012,4
4.919765625,4.9259375,1.5000000000000013,1.5250000000000012,4
4.91359375,4.919765625,1.5000000000000013,1.5250000000000012,4
4.907421875000001,4.91359375,1.5000000000000013,1.5250000000000012,4
4.90125,4.907421875000001,1.5000000000000013,1.5250000000000012,4
4.944453125000001,4.9506250000000005,1.4750000000000014,1.5000000000000013,4
4.919765625,4.9259375,-0.9999999999999991,-0.9749999999999991,4
4.91359375,4.919765625,-0.9999999999999991,-0.9749999999999991,4
4.907421875000001,4.91359375,-0.9999999999999991,-0.9749999999999991,4
4.90125,4.907421875000001,-0.9999999999999991,-0.9749999999999991,4
4.993828125,5.0,-1.0499999999999992,-1.024999999999999,4
4.987656250000001,4.993828125,-1.0499999999999992,-1.024999999999999,4
4.981484375000001,4.987656250000001,-1.0499999999999992,-1.024999999999999,4
4.9753125,4.981484375000001,-1.0499999999999992,-1.024999999999999,4
4.969140625,4.9753125,-1.024999999999999,-0.9999999999999991,4
4.96296875,4.969140625,-1.024999999999999,-0.9999999999999991,4
4.969140625,4.9753125,-1.0499999999999992,-1.024999999999999,4
4.96296875,4.969140625,-1.0499999999999992,-1.024999999999999,4
4.956796875,4.96296875,-1.024999999999999,-0.9999999999999991,4
4.9506250000000005,4.956796875,-1.024999999999999,-0.9999999999999991,4
4.944453125000001,4.9506250000000005,-1.024999999999999,-0.9999999999999991,4
4.93828125,4.944453125000001,-1.024999999999999,-0.9999999999999991,4
4.932109375,4.93828125,-1.024999999999999,-0.9999999999999991,4
4.9259375,4.932109375,-1.024999999999999,-0.9999999999999991,4
4.919765625,4.9259375,-1.024999999999999,-0.9999999999999991,4
4.91359375,4.919765625,-1.024999999999999,-0.9999999999999991,4
4.993828125,5.0,-3.5749999999999997,-3.55,4
4.987656250000001,4.993828125,-3.5749999999999997,-3.55,4
4.981484375000001,4.987656250000001,-3.5749999999999997,-3.55,4
4.9753125,4.981484375000001,-3.5749999999999997,-3.55,4
4.969140625,4.9753125,-3.55,-3.5249999999999995,4
4.96296875,4.969140625,-3.55,-3.5249999999999995,4
4.956796875,4.96296875,-3.55,-3.5249999999999995,4
4.9506250000000005,4.956796875,-3.55,-3.5249999999999995,4
4.969140625,4.9753125,-3.5749999999999997,-3.55,4
4.96296875,4.969140625,-3.5749999999999997,-3.55,4
4.90125,4.907421875000001,-3.4999999999999996,-3.4749999999999996,4
4.93828125,4.944453125000001,-3.5249999999999995,-3.4999999999999996,4
4.944453125000001,4.9506250000000005,-3.55,-3.5249999999999995,4
4.93828125,4.944453125000001,-3.55,-3.5249999999999995,4
4.932109375,4.93828125,-3.5249999999999995,-3.4999999999999996,4
4.9259375,4.932109375,-3.5249999999999995,-3.4999999999999996,4
4.932109375,4.93828125,-3.55,-3.5249999999999995,4
4.919765625,4.9259375,-3.5249999999999995,-3.4999999999999996,4
4.91359375,4.919765625,-3.5249999999999995,-3.4999999999999996,4
4.907421875000001,4.91359375,-3.5249999999999995,-3.4999999999999996,4
4.90125,4.907421875000001,-3.5249999999999995,-3.4999999999999996,4
4.993828125,5.0,-6.1,-6.074999999999999,4
4.987656250000001,4.993828125,-6.1,-6.074999999999999,4
4.981484375000001,4.987656250000001,-6.1,-6.074999999999999,4
4.9753125,4.981484375000001,-6.1,-6.074999999999999,4
4.969140625,4.9753125,-6.074999999999999,-6.05,4
4.96296875,4.969140625,-6.074999999999999,-6.05,4
4.969140625,4.9753125,-6.1,-6.074999999999999,4
4.96296875,4.969140625,-6.1,-6.074999999999999,4
4.956796875,4.96296875,-6.074999999999999,-6.05,4
4.9506250000000005,4.956796875,-6.074999999999999,-6.05,4
4.993828125,5.0,-6.125,-6.1,4
4.944453125000001,4.9506250000000005,-6.05,-6.025,4
4.93828125,4.944453125000001,-6.05,-6.025,4
4.932109375,4.93828125,-6.05,-6.025,4
4.9259375,4.932109375,-6.05,-6.025,4
4.944453125000001,4.9506250000000005,-6.074999999999999,-6.05,4
4.93828125,4.944453125000001,-6.074999999999999,-6.05,4
