rho,tau,selected_k,is_upper_half
1.1,2.818382931264455e-06,8,True
1.1,3.981071705534969e-06,8,True
1.1,5.623413251903491e-06,8,True
1.1,7.943282347242805e-06,8,True
1.1,1.122018454301963e-05,8,True
1.1,1.5848931924611107e-05,8,True
1.1,2.238721138568338e-05,8,True
1.1,3.1622776601683795e-05,8,True
1.1,4.466835921509625e-05,8,True
1.1,6.309573444801929e-05,8,True
1.1,8.912509381337441e-05,8,True
1.1,0.0001258925411794166,8,True
1.1,0.00017782794100389227,8,True
1.1,0.0002511886431509582,8,True
1.1,0.00035481338923357456,8,True
1.1,0.0005011872336272714,8,True
1.1,0.0007079457843841374,8,True
1.1,0.001,8,True
1.1,0.0014125375446227555,8,True
1.1,0.0019952623149688746,8,True
1.1,0.002818382931264449,8,True
1.1,0.003981071705534969,8,True
1.1,0.005623413251903491,8,True
1.1,0.00794328234724282,8,True
1.1,0.011220184543019606,8,True
1.1,0.01584893192461111,8,True
1.1,0.022387211385683378,8,True
1.1,0.03162277660168379,8,True
1.1,0.04466835921509635,8,True
1.1,0.06309573444801916,8,True
1.1,0.08912509381337441,8,True
1.1,0.12589254117941662,8,True
1.1,0.1778279410038923,8,True
1.1,0.25118864315095824,8,True
1.1,0.3548133892335746,8,True
1.1,0.5011872336272715,8,True
1.1,0.7079457843841374,8,True
1.1,1.0,8,True
1.1,1.4125375446227555,7,True
1.1,1.9952623149688746,6,True
1.1,2.8183829312644493,6,True
1.1,3.981071705534969,6,True
1.1,5.62341325190349,6,True
1.1,7.943282347242821,6,True
1.1,11.220184543019606,6,True
1.1,15.848931924611108,6,True
1.1,22.38721138568338,6,True
1.1,31.622776601683793,6,True
1.1,44.668359215096345,6,True
1.1,63.09573444801917,5,True
1.1,89.1250938133744,5,True
1.1,125.89254117941661,5,True
1.1,177.82794100389228,5,True
1.1,251.18864315095718,5,True
1.1,354.8133892335746,5,True
1.1,501.18723362727144,5,True
1.1,707.9457843841374,5,True
1.1,1000.0,5,True
1.1,1412.5375446227497,5,True
1.1,1995.2623149688748,4,False
1.1,2818.3829312644493,4,False
1.1,3981.071705534969,4,False
1.1,5623.413251903491,4,False
1.1,7943.282347242789,4,False
1.1,11220.184543019652,4,False
1.1,15848.931924611108,4,False
1.1,22387.211385683288,4,False
1.1,31622.776601683792,4,False
1.1,44668.35921509616,4,False
1.1,63095.73444801943,3,False
1.1,89125.0938133744,3,False
1.1,125892.5411794161,3,False
1.1,177827.94100389228,3,False
1.1,251188.64315095718,3,False
1.1,354813.389233576,3,False
1.1,501187.2336272715,3,False
1.1,707945.7843841345,3,False
1.1,1000000.0,3,False
1.1,1412537.5446227496,2,False
1.1,1995262.3149688828,2,False
1.1,2818382.9312644494,2,False
1.1,3981071.705534953,2,False
1.1,5623413.251903491,2,False
1.1,7943282.347242789,2,False
1.1,11220184.543019652,0,False
1.1,15848931.924611108,0,False
1.1,22387211.385683287,0,False
1.1,31622776.60168379,0,False
1.1,44668359.21509617,0,False
1.1,63095734.44801943,0,False
1.1,89125093.8133744,0,False
1.1,125892541.1794161,0,False
1.1,177827941.00389227,0,False
1.1,251188643.1509572,0,False
1.1,354813389.23357606,0,False
1.1,501187233.6272715,0,False
1.1,707945784.3841344,0,False
1.1,1000000000.0,0,False
1.1,1412537544.6227496,0,False
1.1,1995262314.9688828,0,False
1.1,2818382931.264449,0,False
1.1,3981071705.534953,0,False
1.1,5623413251.903491,0,False
1.1,7943282347.242789,0,False
1.1,11220184543.019653,0,False
1.1,15848931924.611109,0,False
1.1,22387211385.683285,0,False
1.1,31622776601.683792,0,False
1.1,44668359215.09617,0,False
1.1,63095734448.019424,0,False
1.1,89125093813.3744,0,False
1.1,125892541179.4161,0,False
1.1,177827941003.89227,0,False
1.1,251188643150.95718,0,False
1.1,354813389233.57605,0,False
1.1,501187233627.2715,0,False
1.1,707945784384.1344,0,False
1.1,1000000000000.0,0,False
1.1500000000000001,1e-12,8,True
1.1500000000000001,1.4125375446227555e-12,8,True
1.1500000000000001,1.9952623149688827e-12,8,True
1.1500000000000001,2.8183829312644492e-12,8,True
1.1500000000000001,3.9810717055349695e-12,8,True
1.1500000000000001,5.6234132519034904e-12,8,True
1.1500000000000001,7.943282347242821e-12,8,True
1.1500000000000001,1.1220184543019653e-11,8,True
1.1500000000000001,1.5848931924611107e-11,8,True
1.1500000000000001,2.2387211385683377e-11,8,True
1.1500000000000001,3.1622776601683794e-11,8,True
1.1500000000000001,4.4668359215096346e-11,8,True
1.1500000000000001,6.309573444801942e-11,8,True
1.1500000000000001,8.912509381337441e-11,8,True
1.1500000000000001,1.2589254117941662e-10,8,True
1.1500000000000001,1.778279410038923e-10,8,True
1.1500000000000001,2.511886431509582e-10,8,True
1.1500000000000001,3.5481338923357605e-10,8,True
1.1500000000000001,5.011872336272714e-10,8,True
1.1500000000000001,7.079457843841373e-10,8,True
1.1500000000000001,1e-09,8,True
1.1500000000000001,1.4125375446227555e-09,8,True
1.1500000000000001,1.9952623149688828e-09,8,True
1.1500000000000001,2.8183829312644493e-09,8,True
1.1500000000000001,3.981071705534969e-09,8,True
1.1500000000000001,5.623413251903491e-09,8,True
1.1500000000000001,7.943282347242822e-09,8,True
1.1500000000000001,1.122018454301963e-08,8,True
1.1500000000000001,1.584893192461114e-08,8,True
1.1500000000000001,2.2387211385683378e-08,8,True
1.1500000000000001,3.162277660168379e-08,8,True
1.1500000000000001,4.4668359215096253e-08,8,True
1.1500000000000001,6.30957344480193e-08,8,True
1.1500000000000001,8.912509381337459e-08,8,True
1.1500000000000001,1.2589254117941662e-07,8,True
1.1500000000000001,1.7782794100389227e-07,8,True
1.1500000000000001,2.511886431509577e-07,8,True
1.1500000000000001,3.548133892335753e-07,8,True
1.1500000000000001,5.011872336272725e-07,8,True
1.1500000000000001,7.079457843841374e-07,8,True
1.1500000000000001,1e-06,8,True
1.1500000000000001,1.4125375446227524e-06,8,True
1.1500000000000001,1.9952623149688787e-06,8,True
1.1500000000000001,2.818382931264455e-06,8,True
1.1500000000000001,3.981071705534969e-06,8,True
1.1500000000000001,5.623413251903491e-06,8,True
1.1500000000000001,7.943282347242805e-06,8,True
1.1500000000000001,1.122018454301963e-05,8,True
1.1500000000000001,1.5848931924611107e-05,8,True
1.1500000000000001,2.238721138568338e-05,8,True
1.1500000000000001,3.1622776601683795e-05,8,True
1.1500000000000001,4.466835921509625e-05,8,True
1.1500000000000001,6.309573444801929e-05,8,True
1.1500000000000001,8.912509381337441e-05,8,True
1.1500000000000001,0.0001258925411794166,8,True
1.1500000000000001,0.00017782794100389227,8,True
1.1500000000000001,0.0002511886431509582,8,True
1.1500000000000001,0.00035481338923357456,8,True
1.1500000000000001,0.0005011872336272714,8,True
1.1500000000000001,0.0007079457843841374,8,True
1.1500000000000001,0.001,8,True
1.1500000000000001,0.0014125375446227555,8,True
1.1500000000000001,0.0019952623149688746,8,True
1.1500000000000001,0.002818382931264449,8,True
1.1500000000000001,0.003981071705534969,8,True
1.1500000000000001,0.005623413251903491,8,True
1.1500000000000001,0.00794328234724282,8,True
1.1500000000000001,0.011220184543019606,8,True
1.1500000000000001,0.01584893192461111,8,True
1.1500000000000001,0.022387211385683378,8,True
1.1500000000000001,0.03162277660168379,8,True
1.1500000000000001,0.04466835921509635,8,True
1.1500000000000001,0.06309573444801916,8,True
1.1500000000000001,0.08912509381337441,8,True
1.1500000000000001,0.12589254117941662,8,True
1.1500000000000001,0.1778279410038923,8,True
1.1500000000000001,0.25118864315095824,8,True
1.1500000000000001,0.3548133892335746,8,True
1.1500000000000001,0.5011872336272715,7,True
1.1500000000000001,0.7079457843841374,7,True
1.1500000000000001,1.0,7,True
1.1500000000000001,1.4125375446227555,7,True
1.1500000000000001,1.9952623149688746,6,True
1.1500000000000001,2.8183829312644493,6,True
1.1500000000000001,3.981071705534969,6,True
1.1500000000000001,5.62341325190349,6,True
1.1500000000000001,7.943282347242821,6,True
1.1500000000000001,11.220184543019606,6,True
1.1500000000000001,15.848931924611108,6,True
1.1500000000000001,22.38721138568338,6,True
1.1500000000000001,31.622776601683793,6,True
1.1500000000000001,44.668359215096345,5,True
1.1500000000000001,63.09573444801917,5,True
1.1500000000000001,89.1250938133744,5,True
1.1500000000000001,125.89254117941661,5,True
1.1500000000000001,177.82794100389228,5,True
1.1500000000000001,251.18864315095718,5,True
1.1500000000000001,354.8133892335746,5,True
1.1500000000000001,501.18723362727144,5,True
1.1500000000000001,707.9457843841374,5,True
1.1500000000000001,1000.0,5,True
1.1500000000000001,1412.5375446227497,4,False
1.1500000000000001,1995.2623149688748,4,False
1.1500000000000001,2818.3829312644493,4,False
1.1500000000000001,3981.071705534969,4,False
1.1500000000000001,5623.413251903491,4,False
1.1500000000000001,7943.282347242789,4,False
1.1500000000000001,11220.184543019652,4,False
1.1500000000000001,15848.931924611108,4,False
1.1500000000000001,22387.211385683288,4,False
1.1500000000000001,31622.776601683792,4,False
1.1500000000000001,44668.35921509616,3,False
1.1500000000000001,63095.73444801943,3,False
1.1500000000000001,89125.0938133744,3,False
1.1500000000000001,125892.5411794161,3,False
1.1500000000000001,177827.94100389228,3,False
1.1500000000000001,251188.64315095718,3,False
1.1500000000000001,354813.389233576,3,False
1.1500000000000001,501187.2336272715,3,False
1.1500000000000001,707945.7843841345,3,False
1.1500000000000001,1000000.0,2,False
1.1500000000000001,1412537.5446227496,2,False
1.1500000000000001,1995262.3149688828,2,False
1.1500000000000001,2818382.9312644494,2,False
1.1500000000000001,3981071.705534953,2,False
1.1500000000000001,5623413.251903491,2,False
1.1500000000000001,7943282.347242789,2,False
1.1500000000000001,11220184.543019652,2,False
1.1500000000000001,15848931.924611108,1,False
1.1500000000000001,22387211.385683287,1,False
1.1500000000000001,31622776.60168379,0,False
1.1500000000000001,44668359.21509617,0,False
1.1500000000000001,63095734.44801943,0,False
1.1500000000000001,89125093.8133744,0,False
1.1500000000000001,125892541.1794161,0,False
1.1500000000000001,177827941.00389227,0,False
1.1500000000000001,251188643.1509572,0,False
1.1500000000000001,354813389.23357606,0,False
1.1500000000000001,501187233.6272715,0,False
1.1500000000000001,707945784.3841344,0,False
1.1500000000000001,1000000000.0,0,False
1.1500000000000001,1412537544.6227496,0,False
1.1500000000000001,1995262314.9688828,0,False
1.1500000000000001,2818382931.264449,0,False
1.1500000000000001,3981071705.534953,0,False
1.1500000000000001,5623413251.903491,0,False
1.1500000000000001,7943282347.242789,0,False
1.1500000000000001,11220184543.019653,0,False
1.1500000000000001,15848931924.611109,0,False
1.1500000000000001,22387211385.683285,0,False
1.1500000000000001,31622776601.683792,0,False
1.1500000000000001,44668359215.09617,0,False
1.1500000000000001,63095734448.019424,0,False
1.1500000000000001,89125093813.3744,0,False
1.1500000000000001,125892541179.4161,0,False
1.1500000000000001,177827941003.89227,0,False
1.1500000000000001,251188643150.95718,0,False
1.1500000000000001,354813389233.57605,0,False
1.1500000000000001,501187233627.2715,0,False
1.1500000000000001,707945784384.1344,0,False
1.1500000000000001,1000000000000.0,0,False
1.2000000000000002,1e-12,8,True
1.2000000000000002,1.4125375446227555e-12,8,True
1.2000000000000002,1.9952623149688827e-12,8,True
1.2000000000000002,2.8183829312644492e-12,8,True
1.2000000000000002,3.9810717055349695e-12,8,True
1.2000000000000002,5.6234132519034904e-12,8,True
1.2000000000000002,7.943282347242821e-12,8,True
1.2000000000000002,1.1220184543019653e-11,8,True
1.2000000000000002,1.5848931924611107e-11,8,True
1.2000000000000002,2.2387211385683377e-11,8,True
1.2000000000000002,3.1622776601683794e-11,8,True
1.2000000000000002,4.4668359215096346e-11,8,True
1.2000000000000002,6.309573444801942e-11,8,True
1.2000000000000002,8.912509381337441e-11,8,True
1.2000000000000002,1.2589254117941662e-10,8,True
1.2000000000000002,1.778279410038923e-10,8,True
1.2000000000000002,2.511886431509582e-10,8,True
1.2000000000000002,3.5481338923357605e-10,8,True
1.2000000000000002,5.011872336272714e-10,8,True
1.2000000000000002,7.079457843841373e-10,8,True
1.2000000000000002,1e-09,8,True
1.2000000000000002,1.4125375446227555e-09,8,True
1.2000000000000002,1.9952623149688828e-09,8,True
1.2000000000000002,2.8183829312644493e-09,8,True
1.2000000000000002,3.981071705534969e-09,8,True
1.2000000000000002,5.623413251903491e-09,8,True
1.2000000000000002,7.943282347242822e-09,8,True
1.2000000000000002,1.122018454301963e-08,8,True
1.2000000000000002,1.584893192461114e-08,8,True
1.2000000000000002,2.2387211385683378e-08,8,True
1.2000000000000002,3.162277660168379e-08,8,True
1.2000000000000002,4.4668359215096253e-08,8,True
1.2000000000000002,6.30957344480193e-08,8,True
1.2000000000000002,8.912509381337459e-08,8,True
1.2000000000000002,1.2589254117941662e-07,8,True
1.2000000000000002,1.7782794100389227e-07,8,True
1.2000000000000002,2.511886431509577e-07,8,True
1.2000000000000002,3.548133892335753e-07,8,True
1.2000000000000002,5.011872336272725e-07,8,True
1.2000000000000002,7.079457843841374e-07,8,True
1.2000000000000002,1e-06,8,True
1.2000000000000002,1.4125375446227524e-06,8,True
1.2000000000000002,1.9952623149688787e-06,8,True
1.2000000000000002,2.818382931264455e-06,8,True
1.2000000000000002,3.981071705534969e-06,8,True
1.2000000000000002,5.623413251903491e-06,8,True
1.2000000000000002,7.943282347242805e-06,8,True
1.2000000000000002,1.122018454301963e-05,8,True
1.2000000000000002,1.5848931924611107e-05,8,True
1.2000000000000002,2.238721138568338e-05,8,True
1.2000000000000002,3.1622776601683795e-05,8,True
1.2000000000000002,4.466835921509625e-05,8,True
1.2000000000000002,6.309573444801929e-05,8,True
1.2000000000000002,8.912509381337441e-05,8,True
1.2000000000000002,0.0001258925411794166,8,True
1.2000000000000002,0.00017782794100389227,8,True
1.2000000000000002,0.0002511886431509582,8,True
1.2000000000000002,0.00035481338923357456,8,True
1.2000000000000002,0.0005011872336272714,8,True
1.2000000000000002,0.0007079457843841374,8,True
1.2000000000000002,0.001,8,True
1.2000000000000002,0.0014125375446227555,8,True
1.2000000000000002,0.0019952623149688746,8,True
1.2000000000000002,0.002818382931264449,8,True
1.2000000000000002,0.003981071705534969,8,True
1.2000000000000002,0.005623413251903491,8,True
1.2000000000000002,0.00794328234724282,8,True
1.2000000000000002,0.011220184543019606,8,True
1.2000000000000002,0.01584893192461111,8,True
1.2000000000000002,0.022387211385683378,8,True
1.2000000000000002,0.03162277660168379,8,True
1.2000000000000002,0.04466835921509635,8,True
1.2000000000000002,0.06309573444801916,8,True
1.2000000000000002,0.08912509381337441,8,True
1.2000000000000002,0.12589254117941662,8,True
1.2000000000000002,0.1778279410038923,8,True
1.2000000000000002,0.25118864315095824,7,True
1.2000000000000002,0.3548133892335746,7,True
1.2000000000000002,0.5011872336272715,7,True
1.2000000000000002,0.7079457843841374,7,True
1.2000000000000002,1.0,7,True
1.2000000000000002,1.4125375446227555,6,True
1.2000000000000002,1.9952623149688746,6,True
1.2000000000000002,2.8183829312644493,6,True
1.2000000000000002,3.981071705534969,6,True
1.2000000000000002,5.62341325190349,6,True
1.2000000000000002,7.943282347242821,6,True
1.2000000000000002,11.220184543019606,6,True
1.2000000000000002,15.848931924611108,6,True
1.2000000000000002,22.38721138568338,6,True
1.2000000000000002,31.622776601683793,5,True
1.2000000000000002,44.668359215096345,5,True
1.2000000000000002,63.09573444801917,5,True
1.2000000000000002,89.1250938133744,5,True
1.2000000000000002,125.89254117941661,5,True
1.2000000000000002,177.82794100389228,5,True
1.2000000000000002,251.18864315095718,5,True
1.2000000000000002,354.8133892335746,5,True
1.2000000000000002,501.18723362727144,5,True
1.2000000000000002,707.9457843841374,5,True
1.2000000000000002,1000.0,4,False
1.2000000000000002,1412.5375446227497,4,False
1.2000000000000002,1995.2623149688748,4,False
1.2000000000000002,2818.3829312644493,4,False
1.2000000000000002,3981.071705534969,4,False
1.2000000000000002,5623.413251903491,4,False
1.2000000000000002,7943.282347242789,4,False
1.2000000000000002,11220.184543019652,4,False
1.2000000000000002,15848.931924611108,4,False
1.2000000000000002,22387.211385683288,4,False
1.2000000000000002,31622.776601683792,3,False
1.2000000000000002,44668.35921509616,3,False
1.2000000000000002,63095.73444801943,3,False
1.2000000000000002,89125.0938133744,3,False
1.2000000000000002,125892.5411794161,3,False
1.2000000000000002,177827.94100389228,3,False
1.2000000000000002,251188.64315095718,3,False
1.2000000000000002,354813.389233576,3,False
1.2000000000000002,501187.2336272715,3,False
1.2000000000000002,707945.7843841345,2,False
1.2000000000000002,1000000.0,2,False
1.2000000000000002,1412537.5446227496,2,False
1.2000000000000002,1995262.3149688828,2,False
1.2000000000000002,2818382.9312644494,2,False
1.2000000000000002,3981071.705534953,2,False
1.2000000000000002,5623413.251903491,2,False
1.2000000000000002,7943282.347242789,2,False
1.2000000000000002,11220184.543019652,1,False
1.2000000000000002,15848931.924611108,1,False
1.2000000000000002,22387211.385683287,1,False
1.2000000000000002,31622776.60168379,1,False
1.2000000000000002,44668359.21509617,1,False
1.2000000000000002,63095734.44801943,1,False
1.2000000000000002,89125093.8133744,1,False
1.2000000000000002,125892541.1794161,0,False
1.2000000000000002,177827941.00389227,0,False
1.2000000000000002,251188643.1509572,0,False
1.2000000000000002,354813389.23357606,0,False
1.2000000000000002,501187233.6272715,0,False
1.2000000000000002,707945784.3841344,0,False
1.2000000000000002,1000000000.0,0,False
1.2000000000000002,1412537544.6227496,0,False
1.2000000000000002,1995262314.9688828,0,False
1.2000000000000002,2818382931.264449,0,False
1.2000000000000002,3981071705.534953,0,False
1.2000000000000002,5623413251.903491,0,False
1.2000000000000002,7943282347.242789,0,False
1.2000000000000002,11220184543.019653,0,False
1.2000000000000002,15848931924.611109,0,False
1.2000000000000002,22387211385.683285,0,False
1.2000000000000002,31622776601.683792,0,False
1.2000000000000002,44668359215.09617,0,False
1.2000000000000002,63095734448.019424,0,False
1.2000000000000002,89125093813.3744,0,False
1.2000000000000002,125892541179.4161,0,False
1.2000000000000002,177827941003.89227,0,False
1.2000000000000002,251188643150.95718,0,False
1.2000000000000002,354813389233.57605,0,False
1.2000000000000002,501187233627.2715,0,False
1.2000000000000002,707945784384.1344,0,False
1.2000000000000002,1000000000000.0,0,False
1.25,1e-12,8,True
1.25,1.4125375446227555e-12,8,True
1.25,1.9952623149688827e-12,8,True
1.25,2.8183829312644492e-12,8,True
1.25,3.9810717055349695e-12,8,True
1.25,5.6234132519034904e-12,8,True
1.25,7.943282347242821e-12,8,True
1.25,1.1220184543019653e-11,8,True
1.25,1.5848931924611107e-11,8,True
1.25,2.2387211385683377e-11,8,True
1.25,3.1622776601683794e-11,8,True
1.25,4.4668359215096346e-11,8,True
1.25,6.309573444801942e-11,8,True
1.25,8.912509381337441e-11,8,True
1.25,1.2589254117941662e-10,8,True
1.25,1.778279410038923e-10,8,True
1.25,2.511886431509582e-10,8,True
1.25,3.5481338923357605e-10,8,True
1.25,5.011872336272714e-10,8,True
1.25,7.079457843841373e-10,8,True
1.25,1e-09,8,True
1.25,1.4125375446227555e-09,8,True
1.25,1.9952623149688828e-09,8,True
1.25,2.8183829312644493e-09,8,True
1.25,3.981071705534969e-09,8,True
1.25,5.623413251903491e-09,8,True
1.25,7.943282347242822e-09,8,True
1.25,1.122018454301963e-08,8,True
1.25,1.584893192461114e-08,8,True
1.25,2.2387211385683378e-08,8,True
1.25,3.162277660168379e-08,8,True
1.25,4.4668359215096253e-08,8,True
1.25,6.30957344480193e-08,8,True
1.25,8.912509381337459e-08,8,True
1.25,1.2589254117941662e-07,8,True
1.25,1.7782794100389227e-07,8,True
1.25,2.511886431509577e-07,8,True
1.25,3.548133892335753e-07,8,True
1.25,5.011872336272725e-07,8,True
1.25,7.079457843841374e-07,8,True
1.25,1e-06,8,True
1.25,1.4125375446227524e-06,8,True
1.25,1.9952623149688787e-06,8,True
1.25,2.818382931264455e-06,8,True
1.25,3.981071705534969e-06,8,True
1.25,5.623413251903491e-06,8,True
1.25,7.943282347242805e-06,8,True
1.25,1.122018454301963e-05,8,True
1.25,1.5848931924611107e-05,8,True
1.25,2.238721138568338e-05,8,True
1.25,3.1622776601683795e-05,8,True
1.25,4.466835921509625e-05,8,True
1.25,6.309573444801929e-05,8,True
1.25,8.912509381337441e-05,8,True
1.25,0.0001258925411794166,8,True
1.25,0.00017782794100389227,8,True
1.25,0.0002511886431509582,8,True
1.25,0.00035481338923357456,8,True
1.25,0.0005011872336272714,8,True
1.25,0.0007079457843841374,8,True
1.25,0.001,8,True
1.25,0.0014125375446227555,8,True
1.25,0.0019952623149688746,8,True
1.25,0.002818382931264449,8,True
1.25,0.003981071705534969,8,True
1.25,0.005623413251903491,8,True
