selected_k,selected_cells,selection_fraction,hierarchy_region
0,2032,0.1577639751552795,lower half
1,1154,0.08959627329192546,lower half
2,1060,0.08229813664596274,lower half
3,1089,0.0845496894409938,lower half
4,1093,0.08486024844720497,lower half
5,1098,0.08524844720496895,upper half
6,1070,0.08307453416149069,upper half
7,902,0.07003105590062111,upper half
8,3382,0.2625776397515528,upper half
