rho_lower,rho_upper,log10_tau_lower,log10_tau_upper,depth
1.3431640625,1.34412841796875,-3.005859375,-3,24
1.34412841796875,1.3450927734375,-3.01171875,-3.005859375,24
1.34412841796875,1.3450927734375,-3.005859375,-3,24
1.34605712890625,1.347021484375,-3.017578125,-3.01171875,24
1.3450927734375,1.34605712890625,-3.01171875,-3.005859375,24
1.3450927734375,1.34605712890625,-3.005859375,-3,24
1.34605712890625,1.347021484375,-3.01171875,-3.005859375,24
1.34605712890625,1.347021484375,-3.005859375,-3,24
1.34798583984375,1.3489501953125,-3.029296875,-3.0234375,24
1.3489501953125,1.34991455078125,-3.029296875,-3.0234375,24
1.34991455078125,1.35087890625,-3.03515625,-3.029296875,24
1.34991455078125,1.35087890625,-3.029296875,-3.0234375,24
1.347021484375,1.34798583984375,-3.0234375,-3.017578125,24
1.347021484375,1.34798583984375,-3.017578125,-3.01171875,24
1.34798583984375,1.3489501953125,-3.0234375,-3.017578125,24
1.34798583984375,1.3489501953125,-3.017578125,-3.01171875,24
1.347021484375,1.34798583984375,-3.01171875,-3.005859375,24
1.347021484375,1.34798583984375,-3.005859375,-3,24
1.34798583984375,1.3489501953125,-3.01171875,-3.005859375,24
1.34798583984375,1.3489501953125,-3.005859375,-3,24
1.3489501953125,1.34991455078125,-3.0234375,-3.017578125,24
1.3489501953125,1.34991455078125,-3.017578125,-3.01171875,24
1.34991455078125,1.35087890625,-3.0234375,-3.017578125,24
1.34991455078125,1.35087890625,-3.017578125,-3.01171875,24
1.3489501953125,1.34991455078125,-3.01171875,-3.005859375,24
1.35377197265625,1.354736328125,-3.052734375,-3.046875,24
1.35570068359375,1.3566650390625,-3.064453125,-3.05859375,24
1.354736328125,1.35570068359375,-3.05859375,-3.052734375,24
1.354736328125,1.35570068359375,-3.052734375,-3.046875,24
1.35570068359375,1.3566650390625,-3.05859375,-3.052734375,24
1.35570068359375,1.3566650390625,-3.052734375,-3.046875,24
1.3566650390625,1.35762939453125,-3.064453125,-3.05859375,24
1.35762939453125,1.35859375,-3.0703125,-3.064453125,24
1.35762939453125,1.35859375,-3.064453125,-3.05859375,24
1.3566650390625,1.35762939453125,-3.05859375,-3.052734375,24
1.3566650390625,1.35762939453125,-3.052734375,-3.046875,24
1.35762939453125,1.35859375,-3.05859375,-3.052734375,24
1.35762939453125,1.35859375,-3.052734375,-3.046875,24
1.35087890625,1.35184326171875,-3.041015625,-3.03515625,24
1.35184326171875,1.3528076171875,-3.046875,-3.041015625,24
1.35184326171875,1.3528076171875,-3.041015625,-3.03515625,24
1.35087890625,1.35184326171875,-3.03515625,-3.029296875,24
1.35087890625,1.35184326171875,-3.029296875,-3.0234375,24
1.35184326171875,1.3528076171875,-3.03515625,-3.029296875,24
1.35184326171875,1.3528076171875,-3.029296875,-3.0234375,24
1.3528076171875,1.35377197265625,-3.046875,-3.041015625,24
1.3528076171875,1.35377197265625,-3.041015625,-3.03515625,24
1.35377197265625,1.354736328125,-3.046875,-3.041015625,24
1.35377197265625,1.354736328125,-3.041015625,-3.03515625,24
1.3528076171875,1.35377197265625,-3.03515625,-3.029296875,24
1.3528076171875,1.35377197265625,-3.029296875,-3.0234375,24
1.35377197265625,1.354736328125,-3.03515625,-3.029296875,24
1.35087890625,1.35184326171875,-3.0234375,-3.017578125,24
1.35087890625,1.35184326171875,-3.017578125,-3.01171875,24
1.35184326171875,1.3528076171875,-3.0234375,-3.017578125,24
1.354736328125,1.35570068359375,-3.046875,-3.041015625,24
1.354736328125,1.35570068359375,-3.041015625,-3.03515625,24
1.35570068359375,1.3566650390625,-3.046875,-3.041015625,24
1.35570068359375,1.3566650390625,-3.041015625,-3.03515625,24
1.354736328125,1.35570068359375,-3.03515625,-3.029296875,24
1.3566650390625,1.35762939453125,-3.046875,-3.041015625,24
1.385595703125,1.38656005859375,-3.193359375,-3.1875,24
1.38656005859375,1.3875244140625,-3.19921875,-3.193359375,24
