node_pairs_n,matched_moments_k,extremum_index,s,b,relative_error,source
4,2,2,0.0078053882448533,0.08834810832639994,-4.048641009537743e-08,Round-27 lower-half rule
4,2,3,0.009536110329984,0.09765300983576493,4.048641009537743e-08,Round-27 lower-half rule
4,2,4,0.0116887631682665,0.10811458351335633,-4.048641009537743e-08,Round-27 lower-half rule
4,2,5,0.0136088721959797,0.11665707092148209,4.048641009537743e-08,Round-27 lower-half rule
4,2,6,0.0144,0.12,-4.048641009537743e-08,Round-27 lower-half rule
4,3,0,0.0064,0.08,-6.653545980331275e-07,Round-27 lower-half rule
4,3,1,0.0068941170007646,0.08303081958384248,6.653545980331275e-07,Round-27 lower-half rule
4,3,2,0.0083920008367845,0.09160786449199926,-6.653545980331275e-07,Round-27 lower-half rule
4,3,3,0.0107643920437602,0.10375158815054447,6.653545980331275e-07,Round-27 lower-half rule
4,3,4,0.01326429577813,0.11517072448382878,-6.653545980331275e-07,Round-27 lower-half rule
4,3,5,0.0144,0.12,6.653545980331275e-07,Round-27 lower-half rule
4,4,0,0.0064,0.08,-1.0928192707088406e-05,Round-27 lower-half rule
4,4,1,0.0071536798963883,0.08457942951089407,1.0928192707088406e-05,Round-27 lower-half rule
4,4,2,0.0094332063511124,0.09712469485724215,-1.0928192707088406e-05,Round-27 lower-half rule
4,4,3,0.01265434945902,0.11249155283406839,1.0928192707088406e-05,Round-27 lower-half rule
4,4,4,0.0144,0.12,-1.0928192707088406e-05,Round-27 lower-half rule
4,5,0,0.0064,0.08,-0.00017943334945269562,Round-43 upper-half solve
4,5,1,0.007692019302525391,0.08770415784058011,0.00017943334945225153,Round-43 upper-half solve
4,5,2,0.011476228156614594,0.10712715881892226,-0.00017943334945225153,Round-43 upper-half solve
4,5,3,0.0144,0.12,0.00017943334945291767,Round-43 upper-half solve
4,6,0,0.0064,0.08,-0.0029432194817883284,Round-43 upper-half solve
4,6,1,0.00913702693564659,0.09558779700174384,0.0029432194817886614,Round-43 upper-half solve
4,6,2,0.0144,0.12,-0.0029432194817884394,Round-43 upper-half solve
4,7,0,0.0064,0.08,-0.045979822253459424,Round-43 upper-half solve
4,7,1,0.0144,0.12,0.045979822253459535,Round-43 upper-half solve
4,8,0,0.0064,0.08,-0.4300499305920852,Gauss-Legendre endpoint
4,8,1,0.0144,0.12,-0.24937625146318476,Gauss-Legendre endpoint
