node_pairs_n,matched_moments_k,node_index,positive_node_x,squared_node_y,pair_weight,source
2,0,1,0.0393710877114186,0.0015500825475802,0.0873215152125034,Round-27 lower-half rule
2,0,2,0.211799636398094,0.0448590859783648,0.3922813284983652,Round-27 lower-half rule
2,1,1,0.0523410565445809,0.002739586200203,0.1233768571419336,Round-27 lower-half rule
2,1,2,0.4055390471596243,0.1644619187711359,0.8766231428580663,Round-27 lower-half rule
2,2,1,0.0788712881966754,0.006220680101803,0.2103464450419144,Round-27 lower-half rule
2,2,2,0.6484358051498054,0.4204689934002764,0.7896535549580856,Round-27 lower-half rule
2,3,1,0.15483873233806592,0.02397503303205922,0.48154391984969147,Round-43 upper-half solve
2,3,2,0.787823878724692,0.6206664638888181,0.5184560801503085,Round-43 upper-half solve
2,4,1,0.33998104358485626,0.11558710999704792,0.6521451548625464,Gauss-Legendre endpoint
2,4,2,0.8611363115940526,0.7415557471458092,0.34785484513745357,Gauss-Legendre endpoint
3,0,1,0.0256164289902954,0.0006562014342148,0.0536744394963367,Round-27 lower-half rule
3,0,2,0.0951833592822137,0.0090598718842469,0.0979243769454931,Round-27 lower-half rule
3,0,3,0.3096829870796829,0.095903552486595,0.4804454579663169,Round-27 lower-half rule
3,1,1,0.0303606020505223,0.0009217661568701,0.064669812940323,Round-27 lower-half rule
3,1,2,0.1230847773107259,0.015149862405631,0.1466148610482189,Round-27 lower-half rule
3,1,3,0.5063767624915246,0.256417425591398,0.7887153260114581,Round-27 lower-half rule
3,2,1,0.0373072415303713,0.0013918302706054,0.0816026779177141,Round-27 lower-half rule
3,2,2,0.1745149064716927,0.0304554525808236,0.2511357645869745,Round-27 lower-half rule
3,2,3,0.6985138253706831,0.4879215642339851,0.6672615574953114,Round-27 lower-half rule
3,3,1,0.0485228314672098,0.0023544651735952,0.1111279169319909,Round-27 lower-half rule
3,3,2,0.2756216871851837,0.0759673144468072,0.4325356143198471,Round-27 lower-half rule
3,3,3,0.8110959698341895,0.6578766722812646,0.4563364687481618,Round-27 lower-half rule
3,4,1,0.06971304733924366,0.004859908969323627,0.17339308201806053,Round-43 upper-half solve
3,4,2,0.42384238675858504,0.17964236881321397,0.5108340032640394,Round-43 upper-half solve
3,4,3,0.8731152255688985,0.7623301971202285,0.3157729147179001,Round-43 upper-half solve
3,5,1,0.11974015260783778,0.01433770414654828,0.32481170621186173,Round-43 upper-half solve
3,5,2,0.5594467917321292,0.3129807127793723,0.4469206723655798,Round-43 upper-half solve
3,5,3,0.909446960783353,0.8270937744780775,0.22826762142255844,Round-43 upper-half solve
3,6,1,0.2386191860831969,0.056939115967007355,0.46791393457269104,Gauss-Legendre endpoint
3,6,2,0.6612093864662645,0.4371978527510939,0.3607615730481387,Gauss-Legendre endpoint
3,6,3,0.9324695142031519,0.8694993949182622,0.17132449237917027,Gauss-Legendre endpoint
4,0,1,0.0190642999208328,0.0003634475314714,0.0391471007103216,Round-27 lower-half rule
4,0,2,0.0640798697372951,0.0041062297055487,0.0543710424971337,Round-27 lower-half rule
4,0,3,0.1417100278389482,0.0200817319901154,0.1155212717088479,Round-27 lower-half rule
4,0,4,0.3932607298437698,0.1546540016372544,0.5333488984084103,Round-27 lower-half rule
4,1,1,0.02154170713403,0.0004640451462483,0.0445278479758417,Round-27 lower-half rule
4,1,2,0.0746701233299487,0.0055756273181097,0.0672500933592381,Round-27 lower-half rule
4,1,3,0.1809671901103574,0.0327491238964382,0.1740038204851348,Round-27 lower-half rule
4,1,4,0.5791141803413803,0.3353732338724687,0.7142182381797852,Round-27 lower-half rule
4,2,1,0.0247636645764889,0.0006132390832568,0.0516702731610519,Round-27 lower-half rule
4,2,2,0.089762661902323,0.0080573354717907,0.0877212902561757,Round-27 lower-half rule
4,2,3,0.2468994959646647,0.0609593611076054,0.2790533700416919,Round-27 lower-half rule
4,2,4,0.736651401911913,0.5426552879387869,0.5815550665410804,Round-27 lower-half rule
4,3,1,0.029136875904792,0.0008489575374912,0.0616460888792741,Round-27 lower-half rule
4,3,2,0.112961708913384,0.0127603476806321,0.1232482254904939,Round-27 lower-half rule
4,3,3,0.3526771422358479,0.1243811666556444,0.4072643934216609,Round-27 lower-half rule
4,3,4,0.8301335482070972,0.6891217078589049,0.407841292208571,Round-27 lower-half rule
4,4,1,0.0354268397517142,0.0012550609747936,0.0765950591467684,Round-27 lower-half rule
4,4,2,0.1519103138624011,0.0230767434577732,0.1884530190599688,Round-27 lower-half rule
4,4,3,0.4818508382990613,0.2321802303695081,0.4464360595682697,Round-27 lower-half rule
4,4,4,0.8835533851930171,0.78066658448604,0.288515862224993,Round-27 lower-half rule
4,5,1,0.04526797547561201,0.00204918960366061,0.10140746149902914,Round-43 upper-half solve
4,5,2,0.21991034475584587,0.04836055973063498,0.2894163736855025,Round-43 upper-half solve
4,5,3,0.5968770491219048,0.3562622117684727,0.3975174615357337,Round-43 upper-half solve
4,5,4,0.9157813776500439,0.8386555316506122,0.2116587032797347,Round-43 upper-half solve
4,6,1,0.06277811724429111,0.003941092004737961,0.14901076054750145,Round-43 upper-half solve
4,6,2,0.32078337501346726,0.10290197368503078,0.36029433243366044,Round-43 upper-half solve
4,6,3,0.6846012766076658,0.4686789079328458,0.3297816921675398,Round-43 upper-half solve
4,6,4,0.9364444826084717,0.8769282690078481,0.16091321485129828,Round-43 upper-half solve
4,7,1,0.09929972239672827,0.009860434868067296,0.24884518534527691,Round-43 upper-half solve
4,7,2,0.4290985892207552,0.18412559927124245,0.35453090041122937,Round-43 upper-half solve
4,7,3,0.748781447918415,0.5606736567467981,0.2704302348815282,Round-43 upper-half solve
4,7,4,0.9503690050498357,0.9032012457594145,0.12619367936196554,Round-43 upper-half solve
4,8,1,0.18343464249564978,0.03364826806750684,0.36268378337836166,Gauss-Legendre endpoint
4,8,2,0.525532409916329,0.27618431387246445,0.3137066458778869,Gauss-Legendre endpoint
4,8,3,0.7966664774136267,0.6346774762346367,0.22238103445337443,Gauss-Legendre endpoint
4,8,4,0.9602898564975362,0.9221566084920586,0.10122853629037706,Gauss-Legendre endpoint
